,safegraph_place_id,location_name,region,date_range_start,date_range_end,postal_code,raw_visit_counts,median_dwell,bucketed_dwell_times,est_total_dwell,latitude,longitude,naics_code,state,stateFIPS,countyFIPS,countyName,CBGFIPS
474,sg:2bdd9e2119444dd2a52e2803c3168605,Quonnie Bait and Tackle,RI,2019-12-01T00:00:00-05:00,2020-01-01T00:00:00-05:00,2813,17,32.0,"{""<5"":0,""5-20"":8,""21-60"":6,""61-240"":2,"">240"":1}",884.0,41.355756,-71.7186,451110.0,RI,44.0,44009.0,Washington County,440090511013.0
544,sg:32c80b7e04234d7dab8c35f7f53904b4,Subway,RI,2019-12-01T00:00:00-05:00,2020-01-01T00:00:00-05:00,2889,278,16.0,"{""<5"":4,""5-20"":163,""21-60"":71,""61-240"":27,"">240"":13}",12106.5,41.732815,-71.40901,722513.0,RI,44.0,44003.0,Kent County,440030214013.0
587,sg:3699ed80a9f14e2d9cca66062253e1f9,Annie's,RI,2019-12-01T00:00:00-05:00,2020-01-01T00:00:00-05:00,2840,158,27.5,"{""<5"":4,""5-20"":55,""21-60"":47,""61-240"":34,"">240"":18}",12038.0,41.483338,-71.30825,722513.0,RI,44.0,44005.0,Newport County,440050408001.0
949,sg:599cd790d38a4ccba183d68f18c78613,Koch Eye Associates,RI,2019-12-01T00:00:00-05:00,2020-01-01T00:00:00-05:00,2852,188,42.5,"{""<5"":5,""5-20"":55,""21-60"":54,""61-240"":32,"">240"":42}",17783.0,41.585869,-71.45889100000001,621111.0,RI,44.0,44009.0,Washington County,440090501022.0
1027,sg:619f9afdfbb241c5808fbb6b8e6af7bd,D Palmieri's Bakery,RI,2019-12-01T00:00:00-05:00,2020-01-01T00:00:00-05:00,2919,325,16.0,"{""<5"":10,""5-20"":170,""21-60"":45,""61-240"":26,"">240"":74}",25645.5,41.828801,-71.473062,722511.0,RI,44.0,44007.0,Providence County,440070124013.0
1222,sg:72ed1e1199b74dc1b3002565813e6105,The Children's Workshop,RI,2019-12-01T00:00:00-05:00,2020-01-01T00:00:00-05:00,2885,37,102.0,"{""<5"":0,""5-20"":13,""21-60"":3,""61-240"":13,"">240"":8}",4160.5,41.729763,-71.267742,624410.0,RI,44.0,44001.0,Bristol County,440010306011.0
2604,sg:fef902ca79f64b3286d4e83d1a4322c9,Uncle Sushi & Grill,RI,2019-12-01T00:00:00-05:00,2020-01-01T00:00:00-05:00,2910,384,23.0,"{""<5"":11,""5-20"":158,""21-60"":135,""61-240"":41,"">240"":39}",23000.5,41.783145000000005,-71.438237,722511.0,RI,44.0,44007.0,Providence County,440070140001.0
2645,sg:03facac022b94808ae2cf95fd458535e,Trombetti Al Music Center,RI,2019-12-01T00:00:00-05:00,2020-01-01T00:00:00-05:00,2889,165,50.0,"{""<5"":9,""5-20"":36,""21-60"":47,""61-240"":62,"">240"":11}",14347.0,41.70135,-71.397909,451140.0,RI,44.0,44003.0,Kent County,440030218002.0
2887,sg:1a6a3e0b49964b3ebf0688174cf726ec,Kodos Jewelry,RI,2019-12-01T00:00:00-05:00,2020-01-01T00:00:00-05:00,2904,117,33.0,"{""<5"":1,""5-20"":41,""21-60"":34,""61-240"":31,"">240"":10}",8957.5,41.854215,-71.446579,448310.0,RI,44.0,44007.0,Providence County,440070119012.0
3004,sg:257c5292d38e41d29f8a548678e4ff8e,Ryder,RI,2019-12-01T00:00:00-05:00,2020-01-01T00:00:00-05:00,2888,17,8.0,"{""<5"":1,""5-20"":13,""21-60"":2,""61-240"":1,"">240"":0}",396.5,41.75457,-71.438726,532120.0,RI,44.0,44003.0,Kent County,440030211002.0
