,safegraph_place_id,location_name,region,date_range_start,date_range_end,postal_code,raw_visit_counts,median_dwell,bucketed_dwell_times,est_total_dwell,latitude,longitude,naics_code,state,stateFIPS,countyFIPS,countyName,CBGFIPS
33,sg:028160aad3184b6c9ed219d90da80f18,Harmony Massage & Spa,CT,2019-11-01T00:00:00-04:00,2019-12-01T00:00:00-05:00,6062,1,614.0,"{""<5"":0,""5-20"":0,""21-60"":0,""61-240"":0,"">240"":1}",240.0,41.672605,-72.864018,812199.0,CT,9.0,9003.0,Hartford County,90034206001.0
149,sg:0d4c3396e0f84d00ba67cf14225b2e6a,Mi Rancho Deli & Grocery Store,CT,2019-11-01T00:00:00-04:00,2019-12-01T00:00:00-05:00,6605,187,18.0,"{""<5"":6,""5-20"":95,""21-60"":41,""61-240"":28,"">240"":17}",11157.0,41.158396,-73.22592,445110.0,CT,9.0,9001.0,Fairfield County,90010701004.0
252,sg:170f98d1a38d430db116ae2037d2cf4b,Grace Baptist Church of Cheshire,CT,2019-11-01T00:00:00-04:00,2019-12-01T00:00:00-05:00,6410,46,22.0,"{""<5"":1,""5-20"":22,""21-60"":6,""61-240"":15,"">240"":2}",3258.0,41.519535999999995,-72.895184,813110.0,CT,9.0,9009.0,New Haven County,90093431011.0
298,sg:1a4a659371094aa991a3b120df137f22,Music & Arts,CT,2019-11-01T00:00:00-04:00,2019-12-01T00:00:00-05:00,6118,32,9.0,"{""<5"":2,""5-20"":28,""21-60"":0,""61-240"":1,"">240"":1}",745.5,41.730001,-72.618571,451140.0,CT,9.0,9003.0,Hartford County,90035108003.0
450,sg:2775eae14b3d4baf9f1ec3f70581d31e,Bao's Kitchen,CT,2019-11-01T00:00:00-04:00,2019-12-01T00:00:00-05:00,6516,228,100.0,"{""<5"":10,""5-20"":57,""21-60"":28,""61-240"":63,"">240"":70}",28153.0,41.262142,-72.94675600000001,722511.0,CT,9.0,9009.0,New Haven County,90091551001.0
503,sg:2ba338f4c42b4978b837e781c84adbc4,Wee Wisdom Child Care Center,CT,2019-11-01T00:00:00-04:00,2019-12-01T00:00:00-05:00,6810,22,21.5,"{""<5"":1,""5-20"":10,""21-60"":5,""61-240"":5,"">240"":1}",1322.5,41.375621,-73.459585,624410.0,CT,9.0,9001.0,Fairfield County,90012105002.0
512,sg:2c8807aebf4b412dbf0dfd320c2dee8c,Janney Montgomery Scott,CT,2019-11-01T00:00:00-04:00,2019-12-01T00:00:00-05:00,6511,101,466.0,"{""<5"":2,""5-20"":2,""21-60"":0,""61-240"":14,"">240"":83}",22057.0,41.297670000000004,-72.912242,522110.0,CT,9.0,9009.0,New Haven County,90091402001.0
528,sg:2d906c0119974023b7bb1ed10011fbd7,Starr Tire,CT,2019-11-01T00:00:00-04:00,2019-12-01T00:00:00-05:00,6074,42,108.0,"{""<5"":2,""5-20"":11,""21-60"":6,""61-240"":8,"">240"":15}",5189.5,41.821621,-72.60960899999999,441310.0,CT,9.0,9003.0,Hartford County,90034873002.0
701,sg:3d10782450e64fa68a7e170907a233d9,Sunglass Hut,CT,2019-11-01T00:00:00-04:00,2019-12-01T00:00:00-05:00,6901,1,726.0,"{""<5"":0,""5-20"":0,""21-60"":0,""61-240"":0,"">240"":1}",240.0,41.054512,-73.536697,446130.0,CT,9.0,9001.0,Fairfield County,90010201002.0
786,sg:45fc54ba4b5e42c384d87dc4b724df6b,Green & Tonic,CT,2019-11-01T00:00:00-04:00,2019-12-01T00:00:00-05:00,6807,88,22.5,"{""<5"":2,""5-20"":38,""21-60"":19,""61-240"":18,"">240"":11}",6598.5,41.036844,-73.600768,722515.0,CT,9.0,9001.0,Fairfield County,90010108002.0
