,safegraph_place_id,location_name,region,date_range_start,date_range_end,postal_code,raw_visit_counts,median_dwell,bucketed_dwell_times,est_total_dwell,latitude,longitude,naics_code,state,stateFIPS,countyFIPS,countyName,CBGFIPS
470,sg:29524d580c2e46da81596fbc8c67c7b8,Al Forno Restaurant,RI,2019-11-01T00:00:00-04:00,2019-12-01T00:00:00-05:00,2903,398,102.5,"{""<5"":3,""5-20"":69,""21-60"":61,""61-240"":201,"">240"":64}",48951.0,41.817292,-71.40065200000001,722511.0,RI,44.0,44007.0,Providence County,440070037002.0
557,sg:3084b666979f40a9bc5944209fa4f3ad,Maplewood Park,RI,2019-11-01T00:00:00-04:00,2019-12-01T00:00:00-05:00,2721,247,31.0,"{""<5"":3,""5-20"":103,""21-60"":45,""61-240"":67,"">240"":29}",20161.0,41.680640999999994,-71.154725,712190.0,MA,25.0,25005.0,Bristol County,250056407001.0
626,sg:36c24cc187ea42c98bfdc01c18cde760,Kindred Transitional Care & Rehabilitation,RI,2019-11-01T00:00:00-04:00,2019-12-01T00:00:00-05:00,2860,169,216.0,"{""<5"":2,""5-20"":20,""21-60"":20,""61-240"":63,"">240"":64}",25906.5,41.864104,-71.382738,621610.0,RI,44.0,44007.0,Providence County,440070166001.0
640,sg:3814c32be41f4ba3a7c0f2647560e4fa,Americas Best Value Inn,RI,2019-11-01T00:00:00-04:00,2019-12-01T00:00:00-05:00,2857,32,363.0,"{""<5"":0,""5-20"":9,""21-60"":1,""61-240"":3,"">240"":19}",5164.5,41.834734000000005,-71.573177,721110.0,RI,44.0,44007.0,Providence County,440070132012.0
1585,sg:92066e35b07f49b4a1d0e65945652c27,Green Valley Country Club,RI,2019-11-01T00:00:00-04:00,2019-12-01T00:00:00-05:00,2871,170,32.5,"{""<5"":1,""5-20"":64,""21-60"":57,""61-240"":45,"">240"":3}",10603.5,41.564501,-71.270388,713910.0,RI,44.0,44005.0,Newport County,440050401036.0
1998,sg:bbbdb784420445849b60261565a37934,Rhode Island Communications Company,RI,2019-11-01T00:00:00-04:00,2019-12-01T00:00:00-05:00,2886,26,126.5,"{""<5"":0,""5-20"":8,""21-60"":4,""61-240"":7,"">240"":7}",2995.5,41.734547,-71.431623,811111.0,RI,44.0,44003.0,Kent County,440030211003.0
2084,sg:c474d9b5c0664d0f8b58d65652fa84bc,Animal Planet,RI,2019-11-01T00:00:00-04:00,2019-12-01T00:00:00-05:00,2863,25,10.0,"{""<5"":0,""5-20"":18,""21-60"":5,""61-240"":1,"">240"":1}",818.0,41.888290999999995,-71.38166,453910.0,RI,44.0,44007.0,Providence County,440070108001.0
2356,sg:ddaac74e50324f57b1762094120c7d9c,Dunkin',RI,2019-11-01T00:00:00-04:00,2019-12-01T00:00:00-05:00,2911,439,7.0,"{""<5"":46,""5-20"":306,""21-60"":44,""61-240"":26,"">240"":17}",13715.0,41.854240000000004,-71.472206,722515.0,RI,44.0,44007.0,Providence County,440070120004.0
2395,sg:e14ed4f9511c473097eb40573cdc0df0,Bob's Discount Furniture,RI,2019-11-01T00:00:00-04:00,2019-12-01T00:00:00-05:00,2886,19,16.0,"{""<5"":0,""5-20"":14,""21-60"":5,""61-240"":0,"">240"":0}",377.5,41.698105,-71.494667,442110.0,RI,44.0,44003.0,Kent County,440030222021.0
2482,sg:eaef0be68d184feab21093cf9ed88223,Duffy's Massage Excellence,RI,2019-11-01T00:00:00-04:00,2019-12-01T00:00:00-05:00,2914,1,80.0,"{""<5"":0,""5-20"":0,""21-60"":0,""61-240"":1,"">240"":0}",150.5,41.814808,-71.374602,812199.0,RI,44.0,44007.0,Providence County,440070104005.0
2485,sg:eb1a0b3c16c14b04be735c156be68eb3,Limited Too,RI,2019-11-01T00:00:00-04:00,2019-12-01T00:00:00-05:00,2886,183,26.0,"{""<5"":0,""5-20"":66,""21-60"":86,""61-240"":24,"">240"":7}",9600.0,41.72562,-71.479029,448120.0,RI,44.0,44003.0,Kent County,440030223003.0
2703,sg:007477c9e0564a5fb1219d5e1f2dd672,Cafe Ole,RI,2019-11-01T00:00:00-04:00,2019-12-01T00:00:00-05:00,2905,142,55.0,"{""<5"":1,""5-20"":35,""21-60"":42,""61-240"":52,"">240"":12}",12847.0,41.793114,-71.397039,722511.0,RI,44.0,44007.0,Providence County,440070001011.0
2808,sg:0a95013a6ef84448a6ebb0b360910874,Wyndemere Woods,RI,2019-11-01T00:00:00-04:00,2019-12-01T00:00:00-05:00,2895,57,153.0,"{""<5"":1,""5-20"":14,""21-60"":8,""61-240"":26,"">240"":8}",6334.5,42.004612,-71.478243,623312.0,RI,44.0,44007.0,Providence County,440070184004.0
3107,sg:249beed4a5564fdb88dab305a310b4fe,Sunshine Early Child Care Center,RI,2019-11-01T00:00:00-04:00,2019-12-01T00:00:00-05:00,2852,13,23.0,"{""<5"":0,""5-20"":5,""21-60"":6,""61-240"":2,"">240"":0}",606.5,41.606371,-71.448481,624410.0,RI,44.0,44009.0,Washington County,440090501032.0
3245,sg:32121b7f19b44530bf6ab93a623d1583,Candy 4 Pennies,RI,2019-11-01T00:00:00-04:00,2019-12-01T00:00:00-05:00,2907,415,22.0,"{""<5"":13,""5-20"":186,""21-60"":71,""61-240"":69,"">240"":76}",33857.5,41.805009000000005,-71.42511,445292.0,RI,44.0,44007.0,Providence County,440070003003.0
