,safegraph_place_id,location_name,region,date_range_start,date_range_end,postal_code,raw_visit_counts,median_dwell,bucketed_dwell_times,est_total_dwell,latitude,longitude,naics_code,state,stateFIPS,countyFIPS,countyName,CBGFIPS
118,sg:0b084898127044e497e7f5698be00af2,The Church of Jesus Christ of Latter day Saints,RI,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,2888,85,109.0,"{""<5"":0,""5-20"":7,""21-60"":9,""61-240"":59,"">240"":10}",11731.5,41.746192,-71.396559,813110.0,RI,44.0,44003.0,Kent County,440030213004.0
188,sg:110db608499e4cfc83a34b290046ead6,RBF Fitness and Nutrition,RI,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,2919,3,91.0,"{""<5"":0,""5-20"":0,""21-60"":0,""61-240"":3,"">240"":0}",451.5,41.803247,-71.467733,713940.0,RI,44.0,44007.0,Providence County,440070125001.0
241,sg:15b6843696e5416fb42bbc74a6be165d,Wayland Square,RI,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,2906,451,43.0,"{""<5"":6,""5-20"":106,""21-60"":171,""61-240"":130,"">240"":38}",36950.5,41.829011,-71.388447,531120.0,RI,44.0,44007.0,Providence County,440070035003.0
630,sg:39eba81a797746c0a923098487ad732d,Gieseke Karen & Associates,RI,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,2842,59,23.0,"{""<5"":2,""5-20"":24,""21-60"":17,""61-240"":9,"">240"":7}",4028.0,41.520965000000004,-71.293664,621330.0,RI,44.0,44005.0,Newport County,440050403042.0
1104,sg:65fd26f59ed04d6b9bd2ab3052e96b36,Boys & Girls Clubs of America,RI,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,2889,251,71.0,"{""<5"":6,""5-20"":73,""21-60"":39,""61-240"":82,"">240"":51}",27088.0,41.708354,-71.411896,624110.0,RI,44.0,44003.0,Kent County,440030219021.0
1219,sg:7076492a548841d194f9ecb75e95a2ad,Dunkin',RI,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,2904,46,28.0,"{""<5"":3,""5-20"":20,""21-60"":4,""61-240"":9,"">240"":10}",4174.0,41.849616999999995,-71.402642,722515.0,RI,44.0,44007.0,Providence County,440070033003.0
1572,sg:92872acc0f074a509723f816e2124e36,Jungle Junction,RI,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,2864,158,43.5,"{""<5"":3,""5-20"":37,""21-60"":60,""61-240"":37,"">240"":21}",13508.5,41.933509,-71.427114,453910.0,RI,44.0,44007.0,Providence County,440070113012.0
1603,sg:95ff1fc5fb8a4426903ff371e5382c10,Waggy's Dog Walking,RI,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,2906,7,7.0,"{""<5"":0,""5-20"":5,""21-60"":2,""61-240"":0,"">240"":0}",143.5,41.832083000000004,-71.380841,812910.0,RI,44.0,44007.0,Providence County,440070035004.0
1795,sg:a9013d96c4334a33b66f75740da86bdd,Kev's Spiff Shop,RI,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,2840,2,379.5,"{""<5"":0,""5-20"":0,""21-60"":0,""61-240"":0,"">240"":2}",480.0,41.505368,-71.31808000000001,811192.0,RI,44.0,44005.0,Newport County,440050405002.0
2451,sg:f0b48f212b284e9b87460cb554b44bd3,Family Dollar Stores,RI,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,2814,362,11.0,"{""<5"":18,""5-20"":234,""21-60"":74,""61-240"":23,"">240"":13}",12548.5,41.912765,-71.66842700000001,452319.0,RI,44.0,44007.0,Providence County,440070131022.0
