,safegraph_place_id,location_name,region,date_range_start,date_range_end,postal_code,raw_visit_counts,median_dwell,bucketed_dwell_times,est_total_dwell,latitude,longitude,naics_code,state,stateFIPS,countyFIPS,countyName,CBGFIPS
134,sg:0af132ec954b4d4fbd282396aa9685eb,Spellbound Escapes,CT,2019-03-01T00:00:00-05:00,2019-04-01T00:00:00-04:00,6338,38,20.5,"{""<5"":1,""5-20"":18,""21-60"":15,""61-240"":3,"">240"":1}",1526.5,41.476043,-71.96159,423830.0,CT,9.0,9011.0,New London County,90117011005.0
181,sg:10c9429b70b4478c9e8bafbef9e8b5ff,Charlie's Auto Repair,CT,2019-03-01T00:00:00-05:00,2019-04-01T00:00:00-04:00,6801,1,210.0,"{""<5"":0,""5-20"":0,""21-60"":0,""61-240"":1,"">240"":0}",150.5,41.363215999999994,-73.422467,811111.0,CT,9.0,9001.0,Fairfield County,90012001002.0
308,sg:1c746602d90d42829b8f37e54433ae59,Planet Fitness,CT,2019-03-01T00:00:00-05:00,2019-04-01T00:00:00-04:00,6082,714,43.0,"{""<5"":5,""5-20"":140,""21-60"":338,""61-240"":200,"">240"":31}",52991.5,41.991422,-72.560427,713940.0,CT,9.0,9003.0,Hartford County,90034808002.0
372,sg:234f8b6eb1a842fb9afa0400700813d6,Bath Fitter,CT,2019-03-01T00:00:00-05:00,2019-04-01T00:00:00-04:00,6095,31,42.0,"{""<5"":0,""5-20"":13,""21-60"":6,""61-240"":9,"">240"":3}",2480.0,41.895603,-72.64376999999999,236118.0,CT,9.0,9003.0,Hartford County,90034735023.0
409,sg:26bc81b8ef7d46ed9b6fc39fa9fb39a6,Sugar Bowl,CT,2019-03-01T00:00:00-05:00,2019-04-01T00:00:00-04:00,6820,82,42.0,"{""<5"":2,""5-20"":24,""21-60"":27,""61-240"":23,"">240"":6}",6300.0,41.075520000000004,-73.47224399999999,722511.0,CT,9.0,9001.0,Fairfield County,90010304001.0
471,sg:2bf239cf47e5490aa07d10ef37b96f66,Magnant Richard Insurance,CT,2019-03-01T00:00:00-05:00,2019-04-01T00:00:00-04:00,6820,2,5.0,"{""<5"":0,""5-20"":2,""21-60"":0,""61-240"":0,"">240"":0}",25.0,41.081959999999995,-73.463998,524210.0,CT,9.0,9001.0,Fairfield County,90010302001.0
630,sg:3b1fd5bad6dd4ee5bf819243a0c330f5,Zaniac Greenwich,CT,2019-03-01T00:00:00-05:00,2019-04-01T00:00:00-04:00,6830,31,407.0,"{""<5"":0,""5-20"":0,""21-60"":4,""61-240"":10,"">240"":17}",5747.0,41.016945,-73.647615,611691.0,CT,9.0,9001.0,Fairfield County,90010105004.0
701,sg:427a34c44113475b965bb90bae1eb802,Dom's Broad St Eatery,CT,2019-03-01T00:00:00-05:00,2019-04-01T00:00:00-04:00,6095,7,22.0,"{""<5"":1,""5-20"":2,""21-60"":3,""61-240"":1,"">240"":0}",299.5,41.878638,-72.674017,722511.0,CT,9.0,9003.0,Hartford County,90034735013.0
817,sg:4ce66b9221d24820935b3ae76e1b2170,Windham High School,CT,2019-03-01T00:00:00-05:00,2019-04-01T00:00:00-04:00,6226,1073,95.0,"{""<5"":13,""5-20"":235,""21-60"":207,""61-240"":363,"">240"":255}",127185.0,41.723198,-72.214821,611110.0,CT,9.0,9015.0,Windham County,90158007002.0
827,sg:4db52e4c05e048448dc6f271135c76a0,Diane's,CT,2019-03-01T00:00:00-05:00,2019-04-01T00:00:00-04:00,6415,10,84.5,"{""<5"":0,""5-20"":2,""21-60"":1,""61-240"":5,"">240"":2}",1298.0,41.553451,-72.382006,722511.0,CT,9.0,9011.0,New London County,90117141032.0
