,safegraph_place_id,location_name,region,date_range_start,date_range_end,postal_code,raw_visit_counts,median_dwell,bucketed_dwell_times,est_total_dwell,latitude,longitude,naics_code,state,stateFIPS,countyFIPS,countyName,CBGFIPS
28,sg:01bcf67d73ca4e2ab576fb26345b3fc6,Francis Malbone House,RI,2019-11-01T00:00:00-04:00,2019-12-01T00:00:00-05:00,2840,189,165.0,"{""<5"":1,""5-20"":31,""21-60"":42,""61-240"":41,"">240"":74}",26021.5,41.482719,-71.314314,721110.0,RI,44.0,44005.0,Newport County,440050410002.0
355,sg:1eb9e34981324944b045c840122fd0a8,State of the Arts Karate and Wellness Center,RI,2019-11-01T00:00:00-04:00,2019-12-01T00:00:00-05:00,2886,116,48.0,"{""<5"":0,""5-20"":19,""21-60"":46,""61-240"":51,"">240"":0}",9776.0,41.707004,-71.48993,713940.0,RI,44.0,44003.0,Kent County,440030222021.0
702,sg:3e07f08cc1b74d22bd6ab30a10776139,O'Reilly Auto Parts,RI,2019-11-01T00:00:00-04:00,2019-12-01T00:00:00-05:00,2914,172,32.5,"{""<5"":1,""5-20"":58,""21-60"":64,""61-240"":45,"">240"":4}",11052.0,41.813493,-71.357714,441310.0,,,,,
909,sg:4fd4ae248abb4ce298d136234c2b1f52,New China,RI,2019-11-01T00:00:00-04:00,2019-12-01T00:00:00-05:00,2905,280,68.5,"{""<5"":8,""5-20"":78,""21-60"":47,""61-240"":84,"">240"":63}",30660.5,41.790269,-71.405539,722511.0,RI,44.0,44007.0,Providence County,440070001023.0
940,sg:534a80bd63dd4787b7a398b3905bdc62,Dunkin',RI,2019-11-01T00:00:00-04:00,2019-12-01T00:00:00-05:00,2916,385,8.0,"{""<5"":48,""5-20"":214,""21-60"":47,""61-240"":57,"">240"":19}",17837.0,41.853303000000004,-71.354703,722515.0,RI,44.0,44007.0,Providence County,440070101011.0
2309,sg:dc69b7df0d1c483a97fbbdc6ed99808e,Dari Bee,RI,2019-11-01T00:00:00-04:00,2019-12-01T00:00:00-05:00,2915,74,130.0,"{""<5"":3,""5-20"":24,""21-60"":3,""61-240"":25,"">240"":19}",8751.5,41.771967,-71.362385,722515.0,RI,44.0,44007.0,Providence County,440070106002.0
2339,sg:df0702060f414055ab329d44aab0163b,Body Kneads Yoga,RI,2019-11-01T00:00:00-04:00,2019-12-01T00:00:00-05:00,2920,217,42.0,"{""<5"":1,""5-20"":50,""21-60"":89,""61-240"":55,"">240"":22}",17789.5,41.770552,-71.45459699999999,713940.0,RI,44.0,44007.0,Providence County,440070143001.0
3015,sg:218ed82490834b99b8a1d59cff0ebaa9,Mark S McCarthy,RI,2019-11-01T00:00:00-04:00,2019-12-01T00:00:00-05:00,2832,1,6.0,"{""<5"":0,""5-20"":1,""21-60"":0,""61-240"":0,"">240"":0}",12.5,41.509539000000004,-71.730852,812199.0,RI,44.0,44009.0,Washington County,440090507001.0
3019,sg:21a2994eb703405e928586e39cc8c3f8,Sheffield Pamela S Optmtrst,RI,2019-11-01T00:00:00-04:00,2019-12-01T00:00:00-05:00,2828,34,82.0,"{""<5"":0,""5-20"":5,""21-60"":7,""61-240"":17,"">240"":5}",4104.5,41.870155,-71.545697,446130.0,RI,44.0,44007.0,Providence County,440070127021.0
3382,sg:44153b3869f14d4aa7bfd3bdd425e80a,Dunkin',RI,2019-11-01T00:00:00-04:00,2019-12-01T00:00:00-05:00,2806,308,8.0,"{""<5"":19,""5-20"":201,""21-60"":61,""61-240"":14,"">240"":13}",10257.5,41.738917,-71.307222,722515.0,RI,44.0,44001.0,Bristol County,440010302003.0
