,safegraph_place_id,location_name,region,date_range_start,date_range_end,postal_code,raw_visit_counts,median_dwell,bucketed_dwell_times,est_total_dwell,latitude,longitude,naics_code,state,stateFIPS,countyFIPS,countyName,CBGFIPS
87,sg:08979ade9e1c423c945f2feb474a8540,Lamperelli Auto Body,CT,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,6320,14,18.0,"{""<5"":2,""5-20"":5,""21-60"":2,""61-240"":3,"">240"":2}",1080.0,41.357112,-72.100243,811121.0,CT,9.0,9011.0,New London County,90116905002.0
97,sg:092fff0928054e2aa0d625fcd58380d5,Ageless Beauty Spa by Rosa,CT,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,6040,1,5.0,"{""<5"":0,""5-20"":1,""21-60"":0,""61-240"":0,"">240"":0}",12.5,41.772732,-72.536559,812112.0,CT,9.0,9003.0,Hartford County,90035145004.0
248,sg:1653c58faef64a4ea2e309adc1fec725,THE ALDERMAN MOTOR COMPANY,CT,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,6450,76,36.5,"{""<5"":0,""5-20"":26,""21-60"":21,""61-240"":25,"">240"":4}",5898.0,41.512408,-72.807346,441110.0,CT,9.0,9009.0,New Haven County,90091711003.0
269,sg:17d3d948d03345a5ac724f8826538e45,Liberty Bank,CT,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,6518,11,5.0,"{""<5"":2,""5-20"":7,""21-60"":1,""61-240"":1,"">240"":0}",283.5,41.388868,-72.900008,522110.0,CT,9.0,9009.0,New Haven County,90091660014.0
350,sg:1ee0cfb0c3cd45f3ae2012459c88d48e,Kruger Robert S PC,CT,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,6880,32,76.0,"{""<5"":0,""5-20"":3,""21-60"":7,""61-240"":17,"">240"":5}",4079.5,41.141482,-73.350877,621330.0,CT,9.0,9001.0,Fairfield County,90010502001.0
422,sg:2691f4a2f74f4ab9becfbf524f7b01ca,Edgewood Academy,CT,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,6907,7,29.0,"{""<5"":0,""5-20"":2,""21-60"":2,""61-240"":0,"">240"":3}",826.0,41.081783,-73.521771,624410.0,CT,9.0,9001.0,Fairfield County,90010210002.0
457,sg:2a35072c7c3643c08d66439ae0466c7f,Calvary Presbyterian Church,CT,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,6082,5,44.0,"{""<5"":0,""5-20"":1,""21-60"":2,""61-240"":2,"">240"":0}",394.5,41.961294,-72.59694499999999,813110.0,CT,9.0,9003.0,Hartford County,90034812003.0
533,sg:30a132f5c92e432798d887c962e3d6fd,Ansonia Wine & Liquors,CT,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,6401,1828,79.0,"{""<5"":22,""5-20"":369,""21-60"":416,""61-240"":632,"">240"":389}",209991.5,41.335356,-73.08928,445310.0,CT,9.0,9009.0,New Haven County,90091202001.0
548,sg:3233d8971ec64d7db3bba1c458d2c1d2,Faith Lighthouse Church Cons Bap,CT,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,6854,17,44.0,"{""<5"":0,""5-20"":7,""21-60"":7,""61-240"":3,"">240"":0}",822.5,41.090344,-73.423462,813110.0,CT,9.0,9001.0,Fairfield County,90010445001.0
569,sg:34c9cd00b76143dea0628cc5747a6e50,Enfield Healthtrax,CT,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,6082,226,50.0,"{""<5"":2,""5-20"":29,""21-60"":101,""61-240"":91,"">240"":3}",18873.5,41.952409,-72.596592,713940.0,CT,9.0,9003.0,Hartford County,90034812003.0
608,sg:3863ec3a70c942a6be2092bec3359ef6,JP Gifford Sharon Cafe,CT,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,6069,50,44.5,"{""<5"":3,""5-20"":7,""21-60"":16,""61-240"":12,"">240"":12}",5429.0,41.879493,-73.477488,722511.0,CT,9.0,9005.0,Litchfield County,90052621002.0
739,sg:43b873e27fcd4df3b2eea4f51ab68950,Aladdin Crown Pizza,CT,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,6511,311,49.0,"{""<5"":1,""5-20"":65,""21-60"":115,""61-240"":102,"">240"":28}",27543.5,41.306169,-72.930477,722511.0,CT,9.0,9009.0,New Haven County,90091401001.0
778,sg:46e2325bcf1c4b279c1e791d3e7c4aae,Wireless Zone,CT,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,6477,70,31.0,"{""<5"":1,""5-20"":22,""21-60"":25,""61-240"":20,"">240"":2}",4780.0,41.263495,-73.004717,517312.0,CT,9.0,9009.0,New Haven County,90091571001.0
842,sg:4dca126de29e46a2a6ba61f19cd12934,Amity Physical Therapy,CT,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,6518,14,62.0,"{""<5"":0,""5-20"":3,""21-60"":2,""61-240"":9,"">240"":0}",1473.0,41.381985,-72.902897,621340.0,CT,9.0,9009.0,New Haven County,90091660013.0
907,sg:53b18e171240475fbdb0c4298dbd8f71,Country Canine Grooming,CT,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,6335,34,14.0,"{""<5"":1,""5-20"":19,""21-60"":7,""61-240"":7,"">240"":0}",1577.0,41.428876,-72.082977,453910.0,CT,9.0,9011.0,New London County,90117012005.0
1070,sg:633113948a2f499da966d59cb2f36b2a,Prince Hill Insurance Agency,CT,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,6234,1,15.0,"{""<5"":0,""5-20"":1,""21-60"":0,""61-240"":0,"">240"":0}",12.5,41.791982,-71.94044,524210.0,CT,9.0,9015.0,Windham County,90159051003.0
1087,sg:64bafb57dcc34edb9571bec901ad5901,New Canaan Community Preschool,CT,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,6840,42,266.0,"{""<5"":0,""5-20"":11,""21-60"":3,""61-240"":5,"">240"":23}",6531.5,41.136679,-73.476483,624410.0,CT,9.0,9001.0,Fairfield County,90010353001.0
1188,sg:6e1822e8966b4062a66d3d235eeab1ca,Body by Design,CT,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,6281,103,25.0,"{""<5"":3,""5-20"":41,""21-60"":43,""61-240"":16,"">240"":0}",4669.5,41.933784,-71.947278,713940.0,CT,9.0,9015.0,Windham County,90159011005.0
1498,sg:8a7ab29bdbd74081902eb49019600fde,The Sweet Beet,CT,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,6035,5,19.0,"{""<5"":0,""5-20"":3,""21-60"":0,""61-240"":0,"">240"":2}",517.5,41.984125,-72.80046999999999,445110.0,CT,9.0,9003.0,Hartford County,90034681011.0
1524,sg:8d0d22615bff4235b5974d6ee728569a,Dunkin',CT,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,6804,221,7.0,"{""<5"":26,""5-20"":137,""21-60"":43,""61-240"":14,"">240"":1}",5866.0,41.43112,-73.41470100000001,722515.0,CT,9.0,9001.0,Fairfield County,90012053002.0
1745,sg:a3cfabdb96bc46c8b65345c569fc9a22,Shea &amp Company Real Estate,CT,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,6074,7,16.0,"{""<5"":0,""5-20"":4,""21-60"":2,""61-240"":1,"">240"":0}",281.5,41.826134,-72.550925,531210.0,CT,9.0,9003.0,Hartford County,90034875002.0
2011,sg:c017113465854753b5b147062ed89f73,J M Wright Technical High School,CT,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,6905,148,211.5,"{""<5"":0,""5-20"":15,""21-60"":20,""61-240"":49,"">240"":64}",23732.0,41.062131,-73.54741999999999,611110.0,CT,9.0,9001.0,Fairfield County,90010213002.0
2069,sg:c775b46f58d447df87ae8df0ec47e24e,Sunrise Accounting & Taxation Services,CT,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,6114,3,240.0,"{""<5"":0,""5-20"":0,""21-60"":0,""61-240"":2,"">240"":1}",541.0,41.736142,-72.686932,541213.0,CT,9.0,9003.0,Hartford County,90035023005.0
2171,sg:d243296db85647a89bfca94a6599f380,Bridges by EPOCH at Norwalk,CT,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,6854,195,106.0,"{""<5"":2,""5-20"":32,""21-60"":38,""61-240"":59,"">240"":64}",26183.5,41.097438000000004,-73.452326,621610.0,CT,9.0,9001.0,Fairfield County,90010431003.0
