,safegraph_place_id,location_name,region,date_range_start,date_range_end,postal_code,raw_visit_counts,median_dwell,bucketed_dwell_times,est_total_dwell,latitude,longitude,naics_code,state,stateFIPS,countyFIPS,countyName,CBGFIPS
94,sg:069cf4f863504435bf03f8376439778a,Hope Springs Church,CT,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,6076,12,9.5,"{""<5"":0,""5-20"":9,""21-60"":3,""61-240"":0,"">240"":0}",234.0,41.964289,-72.295532,813110.0,CT,9.0,9013.0,Tolland County,90138901002.0
160,sg:0c9b043d56f24e9fa4940ea326366ec2,United States Postal Service (USPS),CT,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,6071,60,18.0,"{""<5"":0,""5-20"":31,""21-60"":6,""61-240"":19,"">240"":4}",4450.0,41.986752,-72.441861,491110.0,CT,9.0,9013.0,Tolland County,90135382023.0
209,sg:105dbd92b8b347a0a2417c13fb0f3d1a,Goncharova Olga DDS,CT,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,6605,52,18.0,"{""<5"":2,""5-20"":27,""21-60"":13,""61-240"":3,"">240"":7}",3000.5,41.176156,-73.212136,621210.0,CT,9.0,9001.0,Fairfield County,90010711002.0
231,sg:11e76d70cf7c40468f4d29245286b230,Burlington,CT,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,6901,574,40.0,"{""<5"":3,""5-20"":145,""21-60"":216,""61-240"":148,"">240"":62}",47722.0,41.055856,-73.539907,448140.0,CT,9.0,9001.0,Fairfield County,90010201001.0
396,sg:219000cbd8344bc1901dadd90b41ada5,Barbara's Restaurant,CT,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,6514,248,21.0,"{""<5"":6,""5-20"":117,""21-60"":90,""61-240"":28,"">240"":7}",11016.5,41.339518,-72.93544,722511.0,CT,9.0,9009.0,New Haven County,90091655002.0
409,sg:22a7e13e2c334d6bae7d6f789549eeff,Sunoco,CT,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,6470,68,10.5,"{""<5"":6,""5-20"":33,""21-60"":13,""61-240"":13,"">240"":3}",3630.5,41.396768,-73.29361800000001,447110.0,CT,9.0,9001.0,Fairfield County,90012305022.0
473,sg:2889139e63b84b5881e95cf3f55c2196,First and Last Bakery Cafe,CT,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,6114,143,27.0,"{""<5"":6,""5-20"":52,""21-60"":42,""61-240"":26,"">240"":17}",10359.0,41.734021000000006,-72.68679,722511.0,CT,9.0,9003.0,Hartford County,90035023004.0
478,sg:28dce5a883834985a1bef5744110e651,ENT & Allergy Associates,CT,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,6611,8,280.5,"{""<5"":0,""5-20"":3,""21-60"":0,""61-240"":1,"">240"":4}",1148.0,41.234859,-73.14938000000001,621111.0,CT,9.0,9001.0,Fairfield County,90010905002.0
479,sg:28df1ab1497847388edb220230aa5c88,KFC,CT,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,6810,281,12.0,"{""<5"":16,""5-20"":148,""21-60"":59,""61-240"":40,"">240"":18}",14619.5,41.408905,-73.455929,722513.0,CT,9.0,9001.0,Fairfield County,90012102001.0
487,sg:2939b817f79e412ab5e6071fd0fd0354,Pep Boys,CT,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,6514,197,27.0,"{""<5"":4,""5-20"":82,""21-60"":48,""61-240"":37,"">240"":26}",14787.5,41.371849,-72.916924,441310.0,CT,9.0,9009.0,New Haven County,90091658012.0
524,sg:2be5bf34d9ef4034b6dbab85eb74da8f,CrossFit,CT,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,6320,244,40.0,"{""<5"":5,""5-20"":84,""21-60"":55,""61-240"":88,"">240"":12}",19414.0,41.362639,-72.114876,713940.0,CT,9.0,9011.0,New London County,90116903002.0
547,sg:2e3a7540e9e34d39b5953157079ba2e6,Northford Country Grill,CT,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,6472,161,32.0,"{""<5"":1,""5-20"":48,""21-60"":75,""61-240"":31,"">240"":6}",9745.5,41.393683,-72.79019699999999,722511.0,CT,9.0,9009.0,New Haven County,90091862001.0
644,sg:35eb41dfd10946c2a9c29431cd652157,True Value Hardware,CT,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,6776,112,27.5,"{""<5"":4,""5-20"":39,""21-60"":32,""61-240"":30,"">240"":7}",7988.5,41.578489000000005,-73.413826,444130.0,CT,9.0,9005.0,Litchfield County,90052536002.0
674,sg:3904ad74ba524d58a93c0372209591a0,Boys & Girls Clubs of America,CT,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,6010,157,20.0,"{""<5"":6,""5-20"":73,""21-60"":24,""61-240"":26,"">240"":28}",12532.5,41.688644000000004,-72.91780200000001,624110.0,CT,9.0,9003.0,Hartford County,90034052002.0
850,sg:481be2811eff413cb6c6166f5a05836a,Cositas Deliciosas,CT,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,6513,572,27.0,"{""<5"":12,""5-20"":222,""21-60"":136,""61-240"":113,"">240"":89}",46679.5,41.309020000000004,-72.897992,722511.0,CT,9.0,9009.0,New Haven County,90091424003.0
1070,sg:5d2dcdfd1de94d2886305486558ceaa8,Calvary Christian Childhood Center,CT,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,6082,11,20.0,"{""<5"":0,""5-20"":6,""21-60"":2,""61-240"":3,"">240"":0}",607.5,41.961262,-72.59695500000001,624410.0,CT,9.0,9003.0,Hartford County,90034812003.0
1100,sg:60a675d8ec3c4de99cb60ca9511b1f29,7-Eleven,CT,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,6268,41,20.0,"{""<5"":0,""5-20"":21,""21-60"":14,""61-240"":2,"">240"":4}",2090.5,41.805081,-72.24394699999999,445120.0,CT,9.0,9013.0,Tolland County,90138812001.0
1120,sg:621f337ba9f84c6fad5e44b0a7b5ce80,Big Y Foods,CT,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,6470,187,15.0,"{""<5"":4,""5-20"":116,""21-60"":51,""61-240"":11,"">240"":5}",6381.0,41.412082,-73.304886,445110.0,CT,9.0,9001.0,Fairfield County,90012302001.0
1365,sg:7679d43ab6ca494cb733934595aeb566,UI RCP New Haven Fuel Cell,CT,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,6512,18,34.0,"{""<5"":0,""5-20"":6,""21-60"":5,""61-240"":7,"">240"":0}",1331.0,41.289138,-72.89894699999999,221111.0,CT,9.0,9009.0,New Haven County,90091427003.0
1420,sg:7c92c9e4beaf44dbbef140f4035573fb,Baldi Stone and Gravel,CT,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,6415,7,42.0,"{""<5"":0,""5-20"":3,""21-60"":2,""61-240"":2,"">240"":0}",419.5,41.587278999999995,-72.35382,444130.0,CT,9.0,9011.0,New London County,90117141011.0
1434,sg:7dfb9aa77be34f6c9926af9bbb2cbbad,Bird,CT,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,6851,16,94.5,"{""<5"":0,""5-20"":3,""21-60"":3,""61-240"":10,"">240"":0}",1664.0,41.138512,-73.319388,812112.0,CT,9.0,9001.0,Fairfield County,90010506003.0
1477,sg:81799eba1c5641b6a93d5d688db9079d,Mountain View School,CT,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,6010,24,218.5,"{""<5"":0,""5-20"":0,""21-60"":3,""61-240"":10,"">240"":11}",4266.5,41.696540999999996,-72.89895200000001,611110.0,CT,9.0,9003.0,Hartford County,90034053001.0
1525,sg:864cc22cbca7419486f690b110a962d5,Ywca Nike Tykes Early Learning Center,CT,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,6040,56,8.0,"{""<5"":1,""5-20"":30,""21-60"":2,""61-240"":9,"">240"":14}",5173.0,41.746798,-72.53326700000001,624410.0,CT,9.0,9003.0,Hartford County,90035151022.0
1588,sg:8c702a8ac92944bcb89aedf2688c01c5,Advanced Foot & Ankle Center,CT,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,6762,18,26.0,"{""<5"":1,""5-20"":5,""21-60"":4,""61-240"":7,"">240"":1}",1520.5,41.565630999999996,-73.092332,621111.0,CT,9.0,9009.0,New Haven County,90093520003.0
1732,sg:9a346929a2254efbb4c6ef4fede0a924,Hop Brook Lake,CT,2019-10-01T00:00:00-04:00,2019-11-01T00:00:00-04:00,6770,5,9.0,"{""<5"":0,""5-20"":3,""21-60"":2,""61-240"":0,"">240"":0}",118.5,41.514222,-73.068152,712190.0,CT,9.0,9009.0,New Haven County,90093454001.0
