,safegraph_place_id,location_name,region,date_range_start,date_range_end,postal_code,raw_visit_counts,median_dwell,bucketed_dwell_times,est_total_dwell,latitude,longitude,naics_code,state,stateFIPS,countyFIPS,countyName,CBGFIPS
587,sg:357fffe675084f4d84481c9746bfabb3,Aloha Pizza,RI,2019-09-01T00:00:00-04:00,2019-10-01T00:00:00-04:00,2893,169,34.0,"{""<5"":4,""5-20"":61,""21-60"":29,""61-240"":34,"">240"":41}",16904.0,41.700497999999996,-71.52801600000001,722511.0,RI,44.0,44003.0,Kent County,440030203005.0
764,sg:4643f8da68924354a2a42ae2169d7b9a,Michaels Discount,RI,2019-09-01T00:00:00-04:00,2019-10-01T00:00:00-04:00,2861,163,23.0,"{""<5"":1,""5-20"":76,""21-60"":38,""61-240"":28,"">240"":20}",11505.5,41.891625,-71.347454,452319.0,RI,44.0,44007.0,Providence County,440070157002.0
791,sg:49a0612cce464870ae40ce56284815dc,Michelangelo's Deli and Catering,RI,2019-09-01T00:00:00-04:00,2019-10-01T00:00:00-04:00,2920,21,11.0,"{""<5"":2,""5-20"":9,""21-60"":2,""61-240"":6,"">240"":2}",1581.5,41.757852,-71.445886,721110.0,RI,44.0,44007.0,Providence County,440070139003.0
836,sg:4dcba65a64ca4ae0af1962d0bb240c6d,Two Little Fish,RI,2019-09-01T00:00:00-04:00,2019-10-01T00:00:00-04:00,2891,158,24.0,"{""<5"":7,""5-20"":67,""21-60"":35,""61-240"":37,"">240"":12}",10721.0,41.324958,-71.796529,722511.0,RI,44.0,44009.0,Washington County,440090510004.0
1207,sg:6fda6289468649a8ac1ced23d960e7e4,The Point Tavern,RI,2019-09-01T00:00:00-04:00,2019-10-01T00:00:00-04:00,2903,117,84.0,"{""<5"":0,""5-20"":17,""21-60"":29,""61-240"":37,"">240"":34}",15115.5,41.819674,-71.39714000000001,722511.0,RI,44.0,44007.0,Providence County,440070037003.0
1353,sg:7e498a90bd3b490c92bb1b805f72bb2a,Warwick Dance & Gymnastics Academy,RI,2019-09-01T00:00:00-04:00,2019-10-01T00:00:00-04:00,2889,213,23.0,"{""<5"":3,""5-20"":92,""21-60"":49,""61-240"":56,"">240"":13}",14690.0,41.706959999999995,-71.416523,713940.0,RI,44.0,44003.0,Kent County,440030219021.0
1469,sg:88ff19f5249e4e72ae7f37dad3b421ff,Evans D Matthew,RI,2019-09-01T00:00:00-04:00,2019-10-01T00:00:00-04:00,2906,327,127.0,"{""<5"":3,""5-20"":46,""21-60"":60,""61-240"":105,"">240"":113}",45935.0,41.843094,-71.380073,621330.0,RI,44.0,44007.0,Providence County,440070034002.0
1523,sg:8ed9d8cd0f0f44ea96a259296220f948,Beacon Hospice,RI,2019-09-01T00:00:00-04:00,2019-10-01T00:00:00-04:00,2914,388,199.5,"{""<5"":1,""5-20"":40,""21-60"":30,""61-240"":170,"">240"":147}",62582.5,41.80268,-71.344139,621610.0,RI,44.0,44007.0,Providence County,440070105011.0
1544,sg:90ea04aa6c8a48a792a6f4f9d1c80d6a,Metro Collision Center,RI,2019-09-01T00:00:00-04:00,2019-10-01T00:00:00-04:00,2919,2,134.5,"{""<5"":1,""5-20"":0,""21-60"":0,""61-240"":0,"">240"":1}",242.5,41.866552,-71.499989,811121.0,RI,44.0,44007.0,Providence County,440070123001.0
1601,sg:96c5b40f38d84b73aa2ad1a8aa758d13,Piper Brown Photography,RI,2019-09-01T00:00:00-04:00,2019-10-01T00:00:00-04:00,2917,51,71.0,"{""<5"":1,""5-20"":6,""21-60"":17,""61-240"":8,"">240"":19}",6530.0,41.878786,-71.472877,541921.0,RI,44.0,44007.0,Providence County,440070126026.0
1671,sg:9ce20a0092904f31a4f63e7b902ff481,Attorney Mark Buckley CFP,RI,2019-09-01T00:00:00-04:00,2019-10-01T00:00:00-04:00,2909,17,121.0,"{""<5"":1,""5-20"":1,""21-60"":3,""61-240"":9,"">240"":3}",2211.0,41.815929,-71.434938,541213.0,RI,44.0,44007.0,Providence County,440070013001.0
1772,sg:a677650127684254b8916af8ef5620db,Bangkok City Thai Restaurant,RI,2019-09-01T00:00:00-04:00,2019-10-01T00:00:00-04:00,2842,74,41.0,"{""<5"":2,""5-20"":17,""21-60"":31,""61-240"":16,"">240"":8}",5801.0,41.521258,-71.294884,722511.0,RI,44.0,44005.0,Newport County,440050403042.0
1792,sg:a89cb4297bfd423d9205c062692ca98d,Rumford Food Mart,RI,2019-09-01T00:00:00-04:00,2019-10-01T00:00:00-04:00,2916,152,22.5,"{""<5"":5,""5-20"":67,""21-60"":32,""61-240"":23,"">240"":25}",11607.5,41.840674,-71.349321,722511.0,RI,44.0,44007.0,Providence County,440070101023.0
2075,sg:c7072ec9f0b94fa0ae54a820f585c968,Newport Yacht Club,RI,2019-09-01T00:00:00-04:00,2019-10-01T00:00:00-04:00,2840,283,48.0,"{""<5"":4,""5-20"":76,""21-60"":76,""61-240"":100,"">240"":27}",25568.0,41.488749,-71.319051,713940.0,RI,44.0,44005.0,Newport County,440050411003.0
2103,sg:ca786be6832b4795b92529b220490e5d,Richmond NMCA,RI,2019-09-01T00:00:00-04:00,2019-10-01T00:00:00-04:00,2894,44,121.0,"{""<5"":0,""5-20"":8,""21-60"":8,""61-240"":11,"">240"":17}",6159.5,41.440020000000004,-71.715351,221111.0,RI,44.0,44009.0,Washington County,440090506002.0
2271,sg:da4064fd878e421986633b8170325cc1,Mike's Truck & Trailer Repair,RI,2019-09-01T00:00:00-04:00,2019-10-01T00:00:00-04:00,2861,24,348.0,"{""<5"":0,""5-20"":7,""21-60"":1,""61-240"":2,"">240"":14}",3789.0,41.871021,-71.363866,811111.0,RI,44.0,44007.0,Providence County,440070168003.0
2559,sg:f7817db01b3845ce8187372cb09bb339,Apple Rehab Clipper,RI,2019-09-01T00:00:00-04:00,2019-10-01T00:00:00-04:00,2891,103,52.0,"{""<5"":0,""5-20"":29,""21-60"":25,""61-240"":31,"">240"":18}",10360.5,41.349942,-71.78246,623312.0,RI,44.0,44009.0,Washington County,440090509023.0
2659,sg:02a0591745424067b36cc2f180a9d8bc,Shell Oil,RI,2019-09-01T00:00:00-04:00,2019-10-01T00:00:00-04:00,2886,247,7.0,"{""<5"":23,""5-20"":171,""21-60"":28,""61-240"":17,"">240"":8}",7807.5,41.726511,-71.43923000000001,447110.0,RI,44.0,44003.0,Kent County,440030211004.0
2754,sg:0aa7002a89444b529c817569ff417af6,Nail Arts,RI,2019-09-01T00:00:00-04:00,2019-10-01T00:00:00-04:00,2828,14,94.0,"{""<5"":0,""5-20"":1,""21-60"":2,""61-240"":8,"">240"":3}",2017.5,41.86993,-71.536167,812113.0,RI,44.0,44007.0,Providence County,440070127021.0
2803,sg:0f42abd6ee8840fc9d93c3fa60c7e08f,Trinity Academy Performing Art,RI,2019-09-01T00:00:00-04:00,2019-10-01T00:00:00-04:00,2909,411,126.0,"{""<5"":5,""5-20"":83,""21-60"":58,""61-240"":115,"">240"":150}",56706.5,41.811064,-71.435028,611110.0,RI,44.0,44007.0,Providence County,440070013002.0
3011,sg:22303b0f1f7c481184e520da5a3f07f7,Reena Gleason Realtor,RI,2019-09-01T00:00:00-04:00,2019-10-01T00:00:00-04:00,2865,123,33.0,"{""<5"":5,""5-20"":40,""21-60"":35,""61-240"":35,"">240"":8}",9117.5,41.903776,-71.447071,531210.0,RI,44.0,44007.0,Providence County,440070116003.0
3301,sg:3bd185c3b30746049646d399d5a9e18a,Island Moped and Bikes,RI,2019-09-01T00:00:00-04:00,2019-10-01T00:00:00-04:00,2807,525,26.0,"{""<5"":10,""5-20"":206,""21-60"":184,""61-240"":84,"">240"":41}",32534.0,41.172939,-71.558561,451110.0,RI,44.0,44009.0,Washington County,440090415001.0
