,safegraph_place_id,location_name,region,date_range_start,date_range_end,postal_code,raw_visit_counts,median_dwell,bucketed_dwell_times,est_total_dwell,latitude,longitude,naics_code,state,stateFIPS,countyFIPS,countyName,CBGFIPS
123,sg:0a1587416f4b4b59a78d3e4fb356e0e5,Arties auto parts,RI,2019-06-01T00:00:00-04:00,2019-07-01T00:00:00-04:00,2885,15,9.0,"{""<5"":1,""5-20"":11,""21-60"":1,""61-240"":1,"">240"":1}",571.0,41.739212,-71.273552,441310.0,RI,44.0,44001.0,Bristol County,440010306011.0
124,sg:0a2405fcc1f64deea38b2484cda19821,North Kingstown Fire Department Station 1,RI,2019-06-01T00:00:00-04:00,2019-07-01T00:00:00-04:00,2852,272,99.0,"{""<5"":2,""5-20"":67,""21-60"":49,""61-240"":70,"">240"":84}",33522.0,41.57632,-71.460421,922160.0,RI,44.0,44009.0,Washington County,440090503023.0
535,sg:2f78349bf9e242b3bbeb7e4a52707bea,Fox Point Spray Water Park At Cabral Park,RI,2019-06-01T00:00:00-04:00,2019-07-01T00:00:00-04:00,2903,214,27.0,"{""<5"":5,""5-20"":85,""21-60"":51,""61-240"":49,"">240"":24}",16275.0,41.819738,-71.392313,713110.0,RI,44.0,44007.0,Providence County,440070037002.0
556,sg:31e1932cda484383832fcab4242930ee,Soucy Insurance Agency,RI,2019-06-01T00:00:00-04:00,2019-07-01T00:00:00-04:00,2895,98,61.0,"{""<5"":3,""5-20"":18,""21-60"":28,""61-240"":19,"">240"":30}",11426.0,42.013852,-71.50307,524210.0,RI,44.0,44007.0,Providence County,440070181001.0
817,sg:49039968ad3f43eaa514e582e1c61bf1,Trend Insurance,RI,2019-06-01T00:00:00-04:00,2019-07-01T00:00:00-04:00,2871,31,31.0,"{""<5"":0,""5-20"":11,""21-60"":10,""61-240"":9,"">240"":1}",2137.0,41.603124,-71.247311,524210.0,RI,44.0,44005.0,Newport County,440050401023.0
1370,sg:7f6eaadfe1934083999325b0fdcfb393,VCA Animal Hospitals,RI,2019-06-01T00:00:00-04:00,2019-07-01T00:00:00-04:00,2891,5,51.0,"{""<5"":0,""5-20"":1,""21-60"":2,""61-240"":1,"">240"":1}",484.0,41.391490000000005,-71.82247,541940.0,RI,44.0,44009.0,Washington County,440090509013.0
1434,sg:865ad0b4b80f4bddb0d8b33f8d394d11,FroyoWorld,RI,2019-06-01T00:00:00-04:00,2019-07-01T00:00:00-04:00,2906,50,27.5,"{""<5"":0,""5-20"":21,""21-60"":17,""61-240"":8,"">240"":4}",3115.0,41.827599,-71.400327,722513.0,RI,44.0,44007.0,Providence County,440070036011.0
1570,sg:933086d5bbb840ecbf8e031c8f381d99,Pascoag Cafe,RI,2019-06-01T00:00:00-04:00,2019-07-01T00:00:00-04:00,2859,100,39.0,"{""<5"":1,""5-20"":27,""21-60"":31,""61-240"":34,"">240"":7}",8392.5,41.958240999999994,-71.70163000000001,722511.0,RI,44.0,44007.0,Providence County,440070129004.0
1587,sg:94c6437e4ac046d396ea564be5dbb55c,Globe Park,RI,2019-06-01T00:00:00-04:00,2019-07-01T00:00:00-04:00,2903,410,45.0,"{""<5"":8,""5-20"":131,""21-60"":86,""61-240"":105,"">240"":80}",40143.0,41.988694,-71.527553,712190.0,RI,44.0,44007.0,Providence County,440070175002.0
3234,sg:33f9bf46ab624cb78f1ca04a76e0d72d,A J's Restaurant,RI,2019-06-01T00:00:00-04:00,2019-07-01T00:00:00-04:00,2893,481,45.0,"{""<5"":6,""5-20"":88,""21-60"":186,""61-240"":83,"">240"":118}",49459.5,41.700755,-71.523125,722511.0,RI,44.0,44003.0,Kent County,440030202002.0
