,safegraph_place_id,location_name,region,date_range_start,date_range_end,postal_code,raw_visit_counts,median_dwell,bucketed_dwell_times,est_total_dwell,latitude,longitude,naics_code,state,stateFIPS,countyFIPS,countyName,CBGFIPS
811,sg:4fe7b88130bd4d408a283a5ce36d1a75,Western Hills Middle School,RI,2019-03-01T00:00:00-05:00,2019-04-01T00:00:00-04:00,2920,1902,301.0,"{""<5"":16,""5-20"":267,""21-60"":228,""61-240"":375,"">240"":1016}",312889.0,41.774941,-71.47664499999999,611110.0,RI,44.0,44007.0,Providence County,440070145021.0
860,sg:54f3d3e9b560458bad2fdd0bd23f03ac,D'Angelo Sandwich Shops,RI,2019-03-01T00:00:00-05:00,2019-04-01T00:00:00-04:00,2917,119,11.0,"{""<5"":5,""5-20"":76,""21-60"":27,""61-240"":9,"">240"":2}",3890.5,41.870464,-71.52217900000001,722513.0,RI,44.0,44007.0,Providence County,440070126012.0
885,sg:57aacba0775e40fdba9316cc854fbbbf,PST Style,RI,2019-03-01T00:00:00-05:00,2019-04-01T00:00:00-04:00,2871,35,45.0,"{""<5"":0,""5-20"":13,""21-60"":5,""61-240"":15,"">240"":2}",3102.5,41.521303,-71.23304300000001,451130.0,RI,44.0,44005.0,Newport County,440050401022.0
1127,sg:706f06179f87494fafba3de57eaae949,Fidelity Investments,RI,2019-03-01T00:00:00-05:00,2019-04-01T00:00:00-04:00,2917,918,295.5,"{""<5"":3,""5-20"":93,""21-60"":81,""61-240"":224,"">240"":517}",162242.5,41.936164,-71.530399,523930.0,RI,44.0,44007.0,Providence County,440070126011.0
1242,sg:7bad9ceee80a4e84adf933d6cca105a6,Sports Clubs Network,RI,2019-03-01T00:00:00-05:00,2019-04-01T00:00:00-04:00,2906,72,41.0,"{""<5"":3,""5-20"":21,""21-60"":24,""61-240"":16,"">240"":8}",5570.0,41.83968,-71.388441,713940.0,RI,44.0,44007.0,Providence County,440070034002.0
1247,sg:7bf885ba57384be0b0bbad263bf7cbff,Massage Envy,RI,2019-03-01T00:00:00-05:00,2019-04-01T00:00:00-04:00,2920,3,72.0,"{""<5"":0,""5-20"":0,""21-60"":0,""61-240"":3,"">240"":0}",451.5,41.757076,-71.460624,812199.0,RI,44.0,44007.0,Providence County,440070142002.0
1712,sg:a7d4edb2259e472ebada818fd9de386a,CubeSmart,RI,2019-03-01T00:00:00-05:00,2019-04-01T00:00:00-04:00,2898,25,24.0,"{""<5"":0,""5-20"":10,""21-60"":9,""61-240"":5,"">240"":1}",1482.0,41.516449,-71.683751,531130.0,RI,44.0,44009.0,Washington County,440090506001.0
1741,sg:aa97d9c65356421d893c3b081842b6aa,East Side Veterinary Clinic,RI,2019-03-01T00:00:00-05:00,2019-04-01T00:00:00-04:00,2906,86,75.0,"{""<5"":0,""5-20"":11,""21-60"":27,""61-240"":37,"">240"":11}",9439.5,41.828694,-71.39060400000001,541940.0,RI,44.0,44007.0,Providence County,440070035003.0
2194,sg:d6114ea1254941e0bd9e6755efb6906b,Jazmin's Gifts & Novelties,RI,2019-03-01T00:00:00-05:00,2019-04-01T00:00:00-04:00,2893,689,48.0,"{""<5"":15,""5-20"":200,""21-60"":181,""61-240"":220,"">240"":73}",60498.0,41.70267,-71.526362,453220.0,RI,44.0,44003.0,Kent County,440030203004.0
2470,sg:f1eb00e3d2344584abbbc71d43a14113,Mia's Gelateria,RI,2019-03-01T00:00:00-05:00,2019-04-01T00:00:00-04:00,2807,1,76.0,"{""<5"":0,""5-20"":0,""21-60"":0,""61-240"":1,"">240"":0}",150.5,41.173937,-71.559351,722515.0,RI,44.0,44009.0,Washington County,440090415001.0
2724,sg:099d155d78d04d5ba8a90d21c799cd14,Ocean State Power II,RI,2019-03-01T00:00:00-05:00,2019-04-01T00:00:00-04:00,2830,46,20.0,"{""<5"":6,""5-20"":18,""21-60"":7,""61-240"":11,"">240"":4}",3139.0,42.010207,-71.67072900000001,221112.0,RI,44.0,44007.0,Providence County,440070130022.0
3163,sg:36c76a48ee3d4a4ebd0ae586585aedf5,Silver Lake Pizza,RI,2019-03-01T00:00:00-05:00,2019-04-01T00:00:00-04:00,2816,34,19.0,"{""<5"":3,""5-20"":17,""21-60"":9,""61-240"":5,"">240"":0}",1337.0,41.690164,-71.565624,722511.0,RI,44.0,44003.0,Kent County,440030206021.0
3465,sg:51f9ce20323643cc9ddff79fa70e0cbc,Captain Seaweeds,RI,2019-03-01T00:00:00-05:00,2019-04-01T00:00:00-04:00,2906,163,81.0,"{""<5"":4,""5-20"":12,""21-60"":45,""61-240"":80,"">240"":22}",19302.5,41.822683000000005,-71.392303,713950.0,RI,44.0,44007.0,Providence County,440070037001.0
4325,sg:a4bda4bf8f4641ae9d01b3dbcd8aac39,Providence Community Health Center,RI,2019-03-01T00:00:00-05:00,2019-04-01T00:00:00-04:00,2905,133,16.0,"{""<5"":10,""5-20"":63,""21-60"":17,""61-240"":22,"">240"":21}",9852.0,41.808362,-71.415226,621111.0,RI,44.0,44007.0,Providence County,440070004001.0
5123,sg:f8450633ef2948408ca8d21c23e5cb95,Coventry Petroleum Food & Repair,RI,2019-03-01T00:00:00-05:00,2019-04-01T00:00:00-04:00,2816,225,70.0,"{""<5"":4,""5-20"":76,""21-60"":24,""61-240"":36,"">240"":85}",27750.0,41.667627,-71.600638,447110.0,RI,44.0,44003.0,Kent County,440030207032.0
5588,sg:254baf5a51b54020ab99fa902c5ea90f,Thai Star Restaurant,RI,2019-03-01T00:00:00-05:00,2019-04-01T00:00:00-04:00,2908,108,17.0,"{""<5"":5,""5-20"":51,""21-60"":18,""61-240"":23,"">240"":11}",7480.5,41.832212,-71.444011,722511.0,RI,44.0,44007.0,Providence County,440070022004.0
5727,sg:343c7eabb95c4a4c9abe482da09a3b77,Stop & Shop,RI,2019-03-01T00:00:00-05:00,2019-04-01T00:00:00-04:00,2861,1582,15.0,"{""<5"":61,""5-20"":907,""21-60"":477,""61-240"":86,"">240"":51}",55991.5,41.888628000000004,-71.367186,445110.0,RI,44.0,44007.0,Providence County,440070155003.0
6011,sg:4d346d9307a84eabae1f12bcbbccb512,Ida's Restaurant,RI,2019-03-01T00:00:00-05:00,2019-04-01T00:00:00-04:00,2842,62,27.0,"{""<5"":0,""5-20"":22,""21-60"":23,""61-240"":17,"">240"":0}",3765.0,41.521307,-71.29490899999999,722511.0,RI,44.0,44005.0,Newport County,440050403042.0
6090,sg:5449437487914b8b90fc189534013b05,Unique Eyebrow Threading,RI,2019-03-01T00:00:00-05:00,2019-04-01T00:00:00-04:00,2917,24,34.5,"{""<5"":0,""5-20"":8,""21-60"":12,""61-240"":4,"">240"":0}",1188.0,41.870739,-71.522479,446120.0,RI,44.0,44007.0,Providence County,440070126012.0
6418,sg:756c7841cf934b2daaaf2bd08d2d4e13,Roxie's Upscale Consignment,RI,2019-03-01T00:00:00-05:00,2019-04-01T00:00:00-04:00,2809,64,43.0,"{""<5"":2,""5-20"":12,""21-60"":28,""61-240"":15,"">240"":7}",5226.5,41.669409,-71.273519,453310.0,RI,44.0,44001.0,Bristol County,440010307004.0
6460,sg:799419560d7f402fb416481e911c0df6,Mt Hope Learning Center,RI,2019-03-01T00:00:00-05:00,2019-04-01T00:00:00-04:00,2906,269,49.0,"{""<5"":8,""5-20"":100,""21-60"":32,""61-240"":47,"">240"":82}",29319.5,41.83742,-71.403426,624410.0,RI,44.0,44007.0,Providence County,440070031001.0
6869,sg:a2ebbaf5d50b41149d4d4262b13f996c,Joe's Salon,RI,2019-03-01T00:00:00-05:00,2019-04-01T00:00:00-04:00,2910,1,14.0,"{""<5"":0,""5-20"":1,""21-60"":0,""61-240"":0,"">240"":0}",12.5,41.777882,-71.431377,812112.0,RI,44.0,44007.0,Providence County,440070137014.0
