,safegraph_place_id,location_name,region,date_range_start,date_range_end,postal_code,raw_visit_counts,median_dwell,bucketed_dwell_times,est_total_dwell,latitude,longitude,naics_code,state,stateFIPS,countyFIPS,countyName,CBGFIPS
147,sg:0cab962541064a808b813aa576f4992b,Brass City Bistro,CT,2019-07-01T00:00:00-04:00,2019-08-01T00:00:00-04:00,6706,339,54.0,"{""<5"":7,""5-20"":105,""21-60"":66,""61-240"":140,"">240"":21}",30113.0,41.539528999999995,-73.021007,722511.0,CT,9.0,9009.0,New Haven County,90093514003.0
150,sg:0d293154362445d8bfb761acf898e016,Joni's Child Care And Pre School,CT,2019-07-01T00:00:00-04:00,2019-08-01T00:00:00-04:00,6013,30,5.0,"{""<5"":2,""5-20"":23,""21-60"":0,""61-240"":2,"">240"":3}",1313.5,41.771454,-72.971395,624410.0,CT,9.0,9003.0,Hartford County,90034101021.0
462,sg:29aa2607f0b14435b20b2d379af802ab,Animal Haven,CT,2019-07-01T00:00:00-04:00,2019-08-01T00:00:00-04:00,6473,16,47.5,"{""<5"":0,""5-20"":3,""21-60"":8,""61-240"":5,"">240"":0}",1114.0,41.371435,-72.84105699999999,453910.0,CT,9.0,9009.0,New Haven County,90091673001.0
533,sg:2fbd48d1d55847eaa5848203e878ae79,Helen King Reynolds Private School,CT,2019-07-01T00:00:00-04:00,2019-08-01T00:00:00-04:00,6615,96,167.0,"{""<5"":1,""5-20"":7,""21-60"":19,""61-240"":26,"">240"":43}",15092.5,41.193011,-73.127453,624410.0,,,,,
724,sg:41adcc31361a47cdb70509a7ba269de8,Katz Robert A DMD,CT,2019-07-01T00:00:00-04:00,2019-08-01T00:00:00-04:00,6108,66,119.0,"{""<5"":0,""5-20"":7,""21-60"":16,""61-240"":14,"">240"":29}",9802.5,41.776107,-72.627437,621210.0,CT,9.0,9003.0,Hartford County,90035104002.0
725,sg:41cdea10a2b84e17bab3173639752abb,Atlas Driving School,CT,2019-07-01T00:00:00-04:00,2019-08-01T00:00:00-04:00,6110,239,42.0,"{""<5"":1,""5-20"":84,""21-60"":48,""61-240"":60,"">240"":46}",23066.5,41.730540000000005,-72.723959,453310.0,CT,9.0,9003.0,Hartford County,90034961001.0
750,sg:4425d666850c466ab2194fb1a47adf07,Lourdes In Litchfield Shrine,CT,2019-07-01T00:00:00-04:00,2019-08-01T00:00:00-04:00,6759,16,23.0,"{""<5"":0,""5-20"":7,""21-60"":7,""61-240"":2,"">240"":0}",672.0,41.751666,-73.177823,813110.0,CT,9.0,9005.0,Litchfield County,90053004002.0
751,sg:443b34d256284f09a6a1473ae197f955,KinderCare,CT,2019-07-01T00:00:00-04:00,2019-08-01T00:00:00-04:00,6410,60,8.0,"{""<5"":2,""5-20"":37,""21-60"":5,""61-240"":6,"">240"":10}",3973.0,41.548153000000006,-72.95794699999999,624410.0,CT,9.0,9009.0,New Haven County,90093432001.0
799,sg:4952167f5f1f4a3d912c13f36863f31f,Three Sheets,CT,2019-07-01T00:00:00-04:00,2019-08-01T00:00:00-04:00,6511,160,46.5,"{""<5"":1,""5-20"":56,""21-60"":33,""61-240"":48,"">240"":22}",14543.0,41.311706,-72.933444,722511.0,CT,9.0,9009.0,New Haven County,90093614013.0
1014,sg:5ce092d5d0134438b2b85b4b76d509c2,Best Jeane M DDS,CT,2019-07-01T00:00:00-04:00,2019-08-01T00:00:00-04:00,6119,16,35.5,"{""<5"":1,""5-20"":5,""21-60"":4,""61-240"":5,"">240"":1}",1219.5,41.764478999999994,-72.728346,621210.0,CT,9.0,9003.0,Hartford County,90034969004.0
1018,sg:5dcaf119722d49168805de653e516013,Dommu Vernon D DMD,CT,2019-07-01T00:00:00-04:00,2019-08-01T00:00:00-04:00,6825,9,229.0,"{""<5"":0,""5-20"":0,""21-60"":0,""61-240"":5,"">240"":4}",1712.5,41.176134000000005,-73.22564399999999,621210.0,CT,9.0,9001.0,Fairfield County,90010613001.0
1130,sg:69c35a69b3d145b9b4be6dc2132bcf30,Mattress Firm,CT,2019-07-01T00:00:00-04:00,2019-08-01T00:00:00-04:00,6437,108,20.0,"{""<5"":4,""5-20"":52,""21-60"":41,""61-240"":10,"">240"":1}",4065.5,41.300274,-72.707565,442110.0,CT,9.0,9009.0,New Haven County,90091903021.0
1246,sg:7738e4e496984e7b87d9b1503a98122c,Cooper's Auto Parts,CT,2019-07-01T00:00:00-04:00,2019-08-01T00:00:00-04:00,6880,7,10.0,"{""<5"":0,""5-20"":6,""21-60"":1,""61-240"":0,"">240"":0}",115.5,41.138557,-73.303004,441310.0,CT,9.0,9001.0,Fairfield County,90010503003.0
1298,sg:7b3d37d37c9f475fae9b79298a74b775,Gigi of Westport,CT,2019-07-01T00:00:00-04:00,2019-08-01T00:00:00-04:00,6880,42,17.0,"{""<5"":2,""5-20"":22,""21-60"":12,""61-240"":6,"">240"":0}",1669.0,41.141835,-73.357722,446120.0,CT,9.0,9001.0,Fairfield County,90010502001.0
1416,sg:86f5fae1b918416ead8bcb36de5e9b1e,Family Wireless Services,CT,2019-07-01T00:00:00-04:00,2019-08-01T00:00:00-04:00,6118,328,32.5,"{""<5"":8,""5-20"":110,""21-60"":105,""61-240"":57,"">240"":48}",25746.0,41.757576,-72.643886,443142.0,CT,9.0,9003.0,Hartford County,90035106003.0
1493,sg:8d5f2a8cbae4446ab0d71dddd03fd147,Hertz,CT,2019-07-01T00:00:00-04:00,2019-08-01T00:00:00-04:00,6256,1,15.0,"{""<5"":0,""5-20"":1,""21-60"":0,""61-240"":0,"">240"":0}",12.5,41.738917,-72.181703,532111.0,CT,9.0,9015.0,Windham County,90158005001.0
1528,sg:903d40023754413bbc696e5ce6f2b2b9,Murray Park,CT,2019-07-01T00:00:00-04:00,2019-08-01T00:00:00-04:00,6708,439,79.0,"{""<5"":6,""5-20"":106,""21-60"":86,""61-240"":145,"">240"":96}",49685.5,41.526392,-73.062923,712190.0,CT,9.0,9009.0,New Haven County,90093516024.0
1536,sg:91014790f73348b2b4186d504fcd0e03,A Nancy Connole Bail Bonds,CT,2019-07-01T00:00:00-04:00,2019-08-01T00:00:00-04:00,6702,55,15.0,"{""<5"":2,""5-20"":27,""21-60"":16,""61-240"":10,"">240"":0}",2495.5,41.554362,-73.036612,812990.0,CT,9.0,9009.0,New Haven County,90093501002.0
