,safegraph_place_id,location_name,region,date_range_start,date_range_end,postal_code,raw_visit_counts,median_dwell,bucketed_dwell_times,est_total_dwell,latitude,longitude,naics_code,state,stateFIPS,countyFIPS,countyName,CBGFIPS
68,sg:06a19079f4014ce2abcf38ff4c0f67f7,Visiting Angels,CT,2019-07-01T00:00:00-04:00,2019-08-01T00:00:00-04:00,6084,97,39.0,"{""<5"":0,""5-20"":31,""21-60"":27,""61-240"":30,"">240"":9}",8156.0,41.869941,-72.410457,624120.0,CT,9.0,9013.0,Tolland County,90135331013.0
88,sg:08d0ce9caba6462cb3d21497615f9bde,The Landing of Farmington,CT,2019-07-01T00:00:00-04:00,2019-08-01T00:00:00-04:00,6032,252,262.0,"{""<5"":2,""5-20"":39,""21-60"":32,""61-240"":50,"">240"":129}",40273.5,41.703143,-72.857249,623312.0,CT,9.0,9003.0,Hartford County,90034602043.0
452,sg:29df870418424a72a5cb7de68481f97e,VIP Auto Sales,CT,2019-07-01T00:00:00-04:00,2019-08-01T00:00:00-04:00,6354,2,167.5,"{""<5"":0,""5-20"":0,""21-60"":0,""61-240"":2,"">240"":0}",301.0,41.713595,-71.88136999999999,811192.0,CT,9.0,9015.0,Windham County,90159072002.0
536,sg:332caa61766a4aeb8a8f54d9b3622e8e,LIA NISSAN OF ENFIELD,CT,2019-07-01T00:00:00-04:00,2019-08-01T00:00:00-04:00,6082,157,39.0,"{""<5"":3,""5-20"":52,""21-60"":47,""61-240"":35,"">240"":20}",12628.5,41.997714,-72.57467199999999,441110.0,CT,9.0,9003.0,Hartford County,90034808004.0
690,sg:400d096c7f2f494287dbdc588a361bcb,First United Methodist Church,CT,2019-07-01T00:00:00-04:00,2019-08-01T00:00:00-04:00,6378,11,120.0,"{""<5"":0,""5-20"":2,""21-60"":1,""61-240"":6,"">240"":2}",1448.5,41.340203,-71.944149,813110.0,CT,9.0,9011.0,New London County,90117053003.0
945,sg:5845c045431f4411a2f5ad3b57dbfa50,Cng Employees Federal Credit Union,CT,2019-07-01T00:00:00-04:00,2019-08-01T00:00:00-04:00,6108,271,227.0,"{""<5"":1,""5-20"":27,""21-60"":18,""61-240"":101,"">240"":124}",46029.5,41.761844,-72.657324,522110.0,CT,9.0,9003.0,Hartford County,90035102002.0
966,sg:5a6a87423e8f4a15ac4c88e4eb65211a,Shapiro Abraham Dr Optomtrst,CT,2019-07-01T00:00:00-04:00,2019-08-01T00:00:00-04:00,6013,3,18.0,"{""<5"":0,""5-20"":2,""21-60"":1,""61-240"":0,"">240"":0}",65.5,41.758371999999994,-72.999491,446130.0,CT,9.0,9003.0,Hartford County,90034101011.0
971,sg:5af7c4abedb14ff39026354f4b8363ef,Mark's Automotive,CT,2019-07-01T00:00:00-04:00,2019-08-01T00:00:00-04:00,6906,77,15.0,"{""<5"":2,""5-20"":41,""21-60"":10,""61-240"":19,"">240"":5}",4982.0,41.071745,-73.523556,447110.0,CT,9.0,9001.0,Fairfield County,90010211001.0
1098,sg:66ac0504ac06457dac61721154442daf,Federal Hairstylists 1,CT,2019-07-01T00:00:00-04:00,2019-08-01T00:00:00-04:00,6901,1,462.0,"{""<5"":0,""5-20"":0,""21-60"":0,""61-240"":0,"">240"":1}",240.0,41.051234,-73.535133,812112.0,CT,9.0,9001.0,Fairfield County,90010217002.0
1145,sg:6b01c92ea09e424da478641032a7afa0,Little Salad Shop,CT,2019-07-01T00:00:00-04:00,2019-08-01T00:00:00-04:00,6510,47,35.0,"{""<5"":2,""5-20"":18,""21-60"":10,""61-240"":10,"">240"":7}",3820.0,41.307767999999996,-72.930305,722511.0,CT,9.0,9009.0,New Haven County,90091401001.0
1240,sg:7404570f75fd4ca0a86776e2406afab0,Earthplace Preschool,CT,2019-07-01T00:00:00-04:00,2019-08-01T00:00:00-04:00,6880,3,164.0,"{""<5"":0,""5-20"":1,""21-60"":0,""61-240"":1,"">240"":1}",403.0,41.146044,-73.38314100000001,624410.0,CT,9.0,9001.0,Fairfield County,90010501003.0
1261,sg:7616a19b92254f06bc13e8b8106d3e18,Pep Boys,CT,2019-07-01T00:00:00-04:00,2019-08-01T00:00:00-04:00,6705,165,11.0,"{""<5"":7,""5-20"":99,""21-60"":35,""61-240"":20,"">240"":4}",6642.5,41.56131,-73.012376,441310.0,CT,9.0,9009.0,New Haven County,90093512001.0
1420,sg:862db0f7abb746f9bb7e7527093edcca,A Secret Garden Floral,CT,2019-07-01T00:00:00-04:00,2019-08-01T00:00:00-04:00,6706,235,33.0,"{""<5"":7,""5-20"":86,""21-60"":42,""61-240"":64,"">240"":36}",21065.5,41.531411,-73.03570400000001,453110.0,CT,9.0,9009.0,New Haven County,90093515002.0
1501,sg:8dbbd4e5d1cc4f069e670aa5bc7097e4,Yale New Haven Hospital Dietetic Internship Saint Raphael Campus,CT,2019-07-01T00:00:00-04:00,2019-08-01T00:00:00-04:00,6511,7124,91.0,"{""<5"":90,""5-20"":1396,""21-60"":1471,""61-240"":2035,"">240"":2132}",895198.0,41.310217,-72.943321,611519.0,CT,9.0,9009.0,New Haven County,90091408001.0
1513,sg:8ec987366dd84715871b99e4a085e8c5,Ferguson Library Harry Bennet Branch,CT,2019-07-01T00:00:00-04:00,2019-08-01T00:00:00-04:00,6905,200,23.5,"{""<5"":9,""5-20"":79,""21-60"":66,""61-240"":37,"">240"":9}",11411.5,41.099455,-73.543849,519120.0,CT,9.0,9001.0,Fairfield County,90010208001.0
1526,sg:9040b768f89140ddbe6af90b0d402c5f,Julie's Barks and Bubbles,CT,2019-07-01T00:00:00-04:00,2019-08-01T00:00:00-04:00,6074,168,24.0,"{""<5"":4,""5-20"":65,""21-60"":58,""61-240"":30,"">240"":11}",10326.5,41.827179,-72.558093,453910.0,CT,9.0,9003.0,Hartford County,90034874002.0
1713,sg:a1871b9d23c84a2a89114239c65cb35b,Gasoline Alley Tattoo,CT,2019-07-01T00:00:00-04:00,2019-08-01T00:00:00-04:00,6492,2,97.0,"{""<5"":0,""5-20"":1,""21-60"":0,""61-240"":1,"">240"":0}",163.0,41.456665,-72.82722199999999,812199.0,CT,9.0,9009.0,New Haven County,90091754001.0
1805,sg:aa5c19624ff94112aa612876e2e69f3a,Allstate Insurance,CT,2019-07-01T00:00:00-04:00,2019-08-01T00:00:00-04:00,6475,4,100.5,"{""<5"":0,""5-20"":2,""21-60"":0,""61-240"":1,"">240"":1}",415.5,41.286293,-72.409269,524210.0,CT,9.0,9007.0,Middlesex County,90076701001.0
1984,sg:bc0e7229f9594e309b6295d2a2c25eb2,J & M Variety Grocery,CT,2019-07-01T00:00:00-04:00,2019-08-01T00:00:00-04:00,6850,22,61.0,"{""<5"":0,""5-20"":5,""21-60"":6,""61-240"":9,"">240"":2}",2140.0,41.112333,-73.41650899999999,445110.0,CT,9.0,9001.0,Fairfield County,90010437001.0
2080,sg:c670b248239940fdb444f304a08a49e3,Shell Oil,CT,2019-07-01T00:00:00-04:00,2019-08-01T00:00:00-04:00,6247,82,5.0,"{""<5"":15,""5-20"":64,""21-60"":3,""61-240"":0,"">240"":0}",959.0,41.77086,-72.08783299999999,447110.0,CT,9.0,9015.0,Windham County,90158200001.0
2115,sg:c8f67b5aa08743549baf8d28189201b6,Longbrook Park,CT,2019-07-01T00:00:00-04:00,2019-08-01T00:00:00-04:00,6614,1239,51.0,"{""<5"":30,""5-20"":362,""21-60"":275,""61-240"":426,"">240"":146}",114890.5,41.205672,-73.124023,712190.0,CT,9.0,9001.0,Fairfield County,90010808002.0
2164,sg:cdf986b2d2e747c99797e2fa8b38bca2,Dunkin',CT,2019-07-01T00:00:00-04:00,2019-08-01T00:00:00-04:00,6513,446,7.0,"{""<5"":37,""5-20"":333,""21-60"":35,""61-240"":25,"">240"":16}",13275.0,41.321815,-72.875633,722515.0,CT,9.0,9009.0,New Haven County,90091426014.0
2226,sg:d3d85c294ec24aefa07423d66cbe852c,Jeralyn R Fantarella D M D,CT,2019-07-01T00:00:00-04:00,2019-08-01T00:00:00-04:00,6473,12,435.0,"{""<5"":0,""5-20"":0,""21-60"":2,""61-240"":2,"">240"":8}",2302.0,41.396236,-72.856439,621210.0,CT,9.0,9009.0,New Haven County,90091672022.0
2363,sg:e0d410bc48564c4cadfcb955f956fcc0,Gulf Shrimp Co,CT,2019-07-01T00:00:00-04:00,2019-08-01T00:00:00-04:00,6479,10,374.5,"{""<5"":0,""5-20"":2,""21-60"":0,""61-240"":1,"">240"":7}",1855.5,41.581263,-72.89841899999999,722511.0,CT,9.0,9003.0,Hartford County,90034304001.0
2426,sg:e70b6a802f184e2f9b7715a88ec310cc,Don's Dock Marina,CT,2019-07-01T00:00:00-04:00,2019-08-01T00:00:00-04:00,6378,16,9.0,"{""<5"":0,""5-20"":16,""21-60"":0,""61-240"":0,"">240"":0}",200.0,41.342286,-71.908436,441222.0,CT,9.0,9011.0,New London County,90117052003.0
2434,sg:e835c24148064040b9ed768ae989af16,Oak Lane Country Club,CT,2019-07-01T00:00:00-04:00,2019-08-01T00:00:00-04:00,6525,7,66.0,"{""<5"":0,""5-20"":3,""21-60"":0,""61-240"":1,"">240"":3}",908.0,41.319112,-73.02259000000001,713940.0,CT,9.0,9009.0,New Haven County,90091601002.0
2468,sg:eb1011e412284ec48024a6bbee6eecbd,Relax The Back,CT,2019-07-01T00:00:00-04:00,2019-08-01T00:00:00-04:00,6001,14,13.0,"{""<5"":0,""5-20"":11,""21-60"":3,""61-240"":0,"">240"":0}",259.0,41.817378000000005,-72.863197,442110.0,CT,9.0,9003.0,Hartford County,90034661021.0
2651,sg:ff5057bd92664cb2968272a759417764,Stop & Shop,CT,2019-07-01T00:00:00-04:00,2019-08-01T00:00:00-04:00,6468,1509,20.0,"{""<5"":40,""5-20"":790,""21-60"":574,""61-240"":67,"">240"":38}",52425.5,41.314632,-73.216521,445110.0,CT,9.0,9001.0,Fairfield County,90011002002.0
2748,sg:087ab09375e24707bc14dad3908c20f3,University Pizza &Grill,CT,2019-07-01T00:00:00-04:00,2019-08-01T00:00:00-04:00,6051,151,48.0,"{""<5"":1,""5-20"":45,""21-60"":38,""61-240"":40,"">240"":27}",14604.0,41.674077000000004,-72.773758,722511.0,CT,9.0,9003.0,Hartford County,90034162002.0
2843,sg:0fd937265b9e4c37b484d5ce6f8ca775,Curcio Bail Bonds,CT,2019-07-01T00:00:00-04:00,2019-08-01T00:00:00-04:00,6604,852,42.0,"{""<5"":13,""5-20"":241,""21-60"":247,""61-240"":285,"">240"":66}",71781.0,41.181194,-73.192572,451211.0,,,,,
2857,sg:1151c8e0effe4c7a9ce4a480913bf199,Sharon Pharmacy,CT,2019-07-01T00:00:00-04:00,2019-08-01T00:00:00-04:00,6069,7,17.0,"{""<5"":0,""5-20"":7,""21-60"":0,""61-240"":0,"">240"":0}",87.5,41.884828000000006,-73.469323,446110.0,CT,9.0,9005.0,Litchfield County,90052621002.0
2911,sg:1662a58baeb747288bb8542d09bfdaa1,Greathouse Dog Training,CT,2019-07-01T00:00:00-04:00,2019-08-01T00:00:00-04:00,6033,6,27.5,"{""<5"":0,""5-20"":3,""21-60"":1,""61-240"":1,"">240"":1}",468.5,41.6996,-72.475799,812910.0,CT,9.0,9003.0,Hartford County,90035202012.0
2924,sg:1768e8bbf8554f3890fc4d4f559b7b36,Thomaston Physical Therapy,CT,2019-07-01T00:00:00-04:00,2019-08-01T00:00:00-04:00,6787,41,53.0,"{""<5"":0,""5-20"":9,""21-60"":13,""61-240"":13,"">240"":6}",4035.5,41.670809000000006,-73.082309,621340.0,CT,9.0,9005.0,Litchfield County,90053491002.0
3132,sg:29594738297748f2b0243c3bea64068a,Mobil,CT,2019-07-01T00:00:00-04:00,2019-08-01T00:00:00-04:00,6451,167,8.0,"{""<5"":10,""5-20"":112,""21-60"":23,""61-240"":13,"">240"":9}",6473.0,41.540015000000004,-72.8167,447110.0,CT,9.0,9009.0,New Haven County,90091703002.0
