,safegraph_place_id,location_name,region,date_range_start,date_range_end,postal_code,raw_visit_counts,median_dwell,bucketed_dwell_times,est_total_dwell,latitude,longitude,naics_code,state,stateFIPS,countyFIPS,countyName,CBGFIPS
34,sg:02ef3b1c013043639c63c73467294198,H&R Block,CT,2019-01-01T00:00:00-05:00,2019-02-01T00:00:00-05:00,6382,635,11.0,"{""<5"":39,""5-20"":364,""21-60"":99,""61-240"":103,"">240"":30}",31358.5,41.49145,-72.096699,541213.0,CT,9.0,9011.0,New London County,90118705011.0
88,sg:08be71c8abd249babb6298fd8d787394,The Car Er,CT,2019-01-01T00:00:00-05:00,2019-02-01T00:00:00-05:00,6513,76,520.5,"{""<5"":0,""5-20"":11,""21-60"":8,""61-240"":9,"">240"":48}",13336.0,41.332325,-72.873329,811111.0,CT,9.0,9009.0,New Haven County,90091426014.0
160,sg:0fb882ad269d457cbc392b58271321f2,JOANN Fabrics and Crafts,CT,2019-01-01T00:00:00-05:00,2019-02-01T00:00:00-05:00,6413,487,20.0,"{""<5"":12,""5-20"":233,""21-60"":162,""61-240"":58,"">240"":22}",23512.5,41.270146999999994,-72.501232,451130.0,CT,9.0,9007.0,Middlesex County,90076102002.0
274,sg:18aaa3c9d38b4d59bc55728a6f9c83a0,Bastiaanse Family Practice,CT,2019-01-01T00:00:00-05:00,2019-02-01T00:00:00-05:00,6010,59,58.0,"{""<5"":0,""5-20"":14,""21-60"":19,""61-240"":15,"">240"":11}",5842.0,41.709571000000004,-72.91331,621330.0,CT,9.0,9003.0,Hartford County,90034060012.0
292,sg:1a1351020e784e1e80f64ebbf3979eb5,East Lyme Middle School,CT,2019-01-01T00:00:00-05:00,2019-02-01T00:00:00-05:00,6357,1144,86.5,"{""<5"":17,""5-20"":253,""21-60"":179,""61-240"":252,"">240"":443}",154700.5,41.350516,-72.213488,611110.0,CT,9.0,9011.0,New London County,90117161012.0
328,sg:1cfdc4c613f94818bd106baaa42ae6e8,St John Lutheran Church,CT,2019-01-01T00:00:00-05:00,2019-02-01T00:00:00-05:00,6239,2,85.0,"{""<5"":0,""5-20"":1,""21-60"":0,""61-240"":1,"">240"":0}",163.0,41.784825,-71.886333,813110.0,CT,9.0,9015.0,Windham County,90159045004.0
374,sg:21607baa070c45cc871b457f128e2ed4,Mickey's Oceanic Grill,CT,2019-01-01T00:00:00-05:00,2019-02-01T00:00:00-05:00,6108,152,13.0,"{""<5"":4,""5-20"":93,""21-60"":32,""61-240"":17,"">240"":6}",6467.0,41.763357,-72.652135,722511.0,CT,9.0,9003.0,Hartford County,90035102002.0
433,sg:277ce5a6febf48b29247281f1e7df6e0,Barkhamsted Historical Marker,CT,2019-01-01T00:00:00-05:00,2019-02-01T00:00:00-05:00,6063,1,7.0,"{""<5"":0,""5-20"":1,""21-60"":0,""61-240"":0,"">240"":0}",12.5,41.920177,-72.963224,712120.0,CT,9.0,9005.0,Litchfield County,90052901002.0
476,sg:2c7d65cc06174817b3c758eabb743a83,Untitled Bistro,CT,2019-01-01T00:00:00-05:00,2019-02-01T00:00:00-05:00,6103,24,18.0,"{""<5"":0,""5-20"":12,""21-60"":2,""61-240"":1,"">240"":9}",2541.5,41.763690999999994,-72.673177,722511.0,CT,9.0,9003.0,Hartford County,90035021002.0
492,sg:2d3b18085ec94e139e2e4423c8498af8,Savage Hill Museum,CT,2019-01-01T00:00:00-05:00,2019-02-01T00:00:00-05:00,6831,3,41.0,"{""<5"":0,""5-20"":0,""21-60"":2,""61-240"":1,"">240"":0}",231.5,41.094519,-73.69809000000001,712110.0,CT,9.0,9001.0,Fairfield County,90010101014.0
