,safegraph_place_id,location_name,region,date_range_start,date_range_end,postal_code,raw_visit_counts,median_dwell,bucketed_dwell_times,est_total_dwell,latitude,longitude,naics_code,state,stateFIPS,countyFIPS,countyName,CBGFIPS
110,sg:07df6b8c37154d5ba97d154c2609de07,Liberty Tax Service,RI,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,2904,2,660.5,"{""<5"":0,""5-20"":0,""21-60"":0,""61-240"":0,"">240"":2}",480.0,41.838899,-71.40888199999999,541213.0,RI,44.0,44007.0,Providence County,440070031002.0
140,sg:0aaace744a2d4b86a8bec94638b5314c,Rainbow water,RI,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,2907,248,37.0,"{""<5"":5,""5-20"":83,""21-60"":58,""61-240"":90,"">240"":12}",19824.0,41.814165,-71.421084,722515.0,RI,44.0,44007.0,Providence County,440070007003.0
1013,sg:561f3881c43b483fb3af103ae131066c,Walgreens,RI,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,2882,175,8.0,"{""<5"":14,""5-20"":138,""21-60"":19,""61-240"":2,"">240"":2}",3310.5,41.4916,-71.437438,446110.0,RI,44.0,44009.0,Washington County,440090515021.0
1312,sg:70daad766f8844268160bbbfc3bfe8e0,Epilepsy Association of R I,RI,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,2909,2,273.0,"{""<5"":0,""5-20"":1,""21-60"":0,""61-240"":0,"">240"":1}",252.5,41.808234999999996,-71.439748,621111.0,RI,44.0,44007.0,Providence County,440070014005.0
2164,sg:c514122b120c44b3b41a5d5103dd2471,Foundry Orthopedics & Sports Medicine,RI,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,2908,126,70.5,"{""<5"":0,""5-20"":6,""21-60"":50,""61-240"":44,"">240"":26}",14962.0,41.82997,-71.421071,611691.0,RI,44.0,44007.0,Providence County,440070025002.0
2224,sg:cba0121aae00438ea3f7de2b9f63d01f,Au Bon Pain,RI,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,2903,8553,103.0,"{""<5"":91,""5-20"":1450,""21-60"":1682,""61-240"":2841,"">240"":2489}",1111404.0,41.811069,-71.408923,722513.0,RI,44.0,44007.0,Providence County,440070006001.0
3173,sg:259d62ea993a4f69a147c98b94f43b40,Tri County Caa Burrillville,RI,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,2859,86,14.5,"{""<5"":0,""5-20"":54,""21-60"":14,""61-240"":12,"">240"":6}",4488.0,41.958951,-71.700939,624410.0,RI,44.0,44007.0,Providence County,440070129002.0
3342,sg:368038d1b67a4806bd2000f3b876f8ad,Burger King,RI,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,2908,246,13.5,"{""<5"":13,""5-20"":136,""21-60"":53,""61-240"":34,"">240"":10}",11396.0,41.830223,-71.426569,722513.0,RI,44.0,44007.0,Providence County,440070025002.0
3902,sg:699c79a2f1a5485daa439194e7e9c626,Marshalls,RI,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,2852,659,23.0,"{""<5"":11,""5-20"":242,""21-60"":331,""61-240"":67,"">240"":8}",28461.5,41.631332,-71.46658000000001,448140.0,RI,44.0,44009.0,Washington County,440090501035.0
3903,sg:69b52f8a0b8c42639e1db1c9d1594d6d,Narragansett Sailing School,RI,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,2806,198,57.5,"{""<5"":8,""5-20"":58,""21-60"":35,""61-240"":50,"">240"":47}",20967.5,41.750733000000004,-71.351028,441222.0,RI,44.0,44001.0,Bristol County,440010301004.0
