,safegraph_place_id,location_name,region,date_range_start,date_range_end,postal_code,raw_visit_counts,median_dwell,bucketed_dwell_times,est_total_dwell,latitude,longitude,naics_code,state,stateFIPS,countyFIPS,countyName,CBGFIPS
207,sg:14cab907718f41a789d55a2a781478bc,Spring Street Market and Pizza,RI,2020-01-01T00:00:00-05:00,2020-02-01T00:00:00-05:00,2832,74,15.0,"{""<5"":3,""5-20"":39,""21-60"":15,""61-240"":11,"">240"":6}",4198.0,41.507385,-71.716817,722511.0,RI,44.0,44009.0,Washington County,440090507001.0
1677,sg:a28ecd6b68404b9a89b793667d7d1833,Malone Raymond L,RI,2020-01-01T00:00:00-05:00,2020-02-01T00:00:00-05:00,2837,27,30.0,"{""<5"":1,""5-20"":9,""21-60"":6,""61-240"":2,"">240"":9}",2819.0,41.539881,-71.156492,611692.0,RI,44.0,44005.0,Newport County,440050414002.0
1970,sg:be594ecac27a4337a03e26b856f243cf,Greenwich Bay Marina A Safe Harbor Marina,RI,2020-01-01T00:00:00-05:00,2020-02-01T00:00:00-05:00,2889,64,17.0,"{""<5"":1,""5-20"":36,""21-60"":8,""61-240"":11,"">240"":8}",4352.0,41.693835,-71.391537,441222.0,RI,44.0,44003.0,Kent County,440030217001.0
2511,sg:f610561c6685455b9517515455b04c5c,Brown St Playground,RI,2020-01-01T00:00:00-05:00,2020-02-01T00:00:00-05:00,2906,35,675.0,"{""<5"":1,""5-20"":7,""21-60"":4,""61-240"":2,"">240"":21}",5593.0,41.833762,-71.404246,713990.0,RI,44.0,44007.0,Providence County,440070036022.0
2888,sg:1a33821a6aae4a52b25d9140a0c81100,Victoria's Flowers,RI,2020-01-01T00:00:00-05:00,2020-02-01T00:00:00-05:00,2885,164,24.0,"{""<5"":7,""5-20"":67,""21-60"":47,""61-240"":24,"">240"":19}",10930.5,41.719721,-71.26867299999999,453110.0,RI,44.0,44001.0,Bristol County,440010306022.0
3183,sg:3801532d245041c39cae7a96c8bdb409,New England Truck Solutions,RI,2020-01-01T00:00:00-05:00,2020-02-01T00:00:00-05:00,2896,81,52.0,"{""<5"":3,""5-20"":24,""21-60"":16,""61-240"":22,"">240"":16}",8106.5,41.991685,-71.563304,339950.0,RI,44.0,44007.0,Providence County,440070128031.0
3313,sg:439652c7d80b4119b28a81f6eca6ea81,Pooch Pawsitive,RI,2020-01-01T00:00:00-05:00,2020-02-01T00:00:00-05:00,2914,39,27.0,"{""<5"":0,""5-20"":18,""21-60"":3,""61-240"":8,"">240"":10}",3950.5,41.813619,-71.352733,812910.0,RI,44.0,44007.0,Providence County,440070103003.0
3755,sg:6d214c61624e4bfdb464bd713f913639,Mc Caffrey John T DO,RI,2020-01-01T00:00:00-05:00,2020-02-01T00:00:00-05:00,2840,107,269.0,"{""<5"":4,""5-20"":17,""21-60"":16,""61-240"":15,"">240"":55}",16328.0,41.501427,-71.304641,621111.0,RI,44.0,44005.0,Newport County,440050406001.0
3767,sg:6e56d19a6c3b488db89c6f63bcab746d,Bonollo Provision Co,RI,2020-01-01T00:00:00-05:00,2020-02-01T00:00:00-05:00,2908,5,10.0,"{""<5"":0,""5-20"":3,""21-60"":0,""61-240"":2,"">240"":0}",338.5,41.843773999999996,-71.420262,445110.0,RI,44.0,44007.0,Providence County,440070027002.0
4935,sg:e25913ee2ae74086b71837cb57db94fb,Dunkin',RI,2020-01-01T00:00:00-05:00,2020-02-01T00:00:00-05:00,2817,169,6.0,"{""<5"":26,""5-20"":112,""21-60"":19,""61-240"":8,"">240"":4}",4398.5,41.612534000000004,-71.665989,722515.0,RI,44.0,44003.0,Kent County,440030208002.0
