,safegraph_place_id,location_name,region,date_range_start,date_range_end,postal_code,raw_visit_counts,median_dwell,bucketed_dwell_times,est_total_dwell,latitude,longitude,naics_code,state,stateFIPS,countyFIPS,countyName,CBGFIPS
94,sg:069cf4f863504435bf03f8376439778a,Hope Springs Church,CT,2020-03-01T00:00:00-05:00,2020-04-01T00:00:00-04:00,6076,4,22.0,"{""<5"":0,""5-20"":2,""21-60"":1,""61-240"":1,"">240"":0}",216.0,41.964289,-72.295532,813110.0,CT,9.0,9013.0,Tolland County,90138901002.0
163,sg:0c9b043d56f24e9fa4940ea326366ec2,United States Postal Service (USPS),CT,2020-03-01T00:00:00-05:00,2020-04-01T00:00:00-04:00,6071,36,6.0,"{""<5"":6,""5-20"":26,""21-60"":2,""61-240"":2,"">240"":0}",722.0,41.986752,-72.441861,491110.0,CT,9.0,9013.0,Tolland County,90135382023.0
212,sg:105dbd92b8b347a0a2417c13fb0f3d1a,Goncharova Olga DDS,CT,2020-03-01T00:00:00-05:00,2020-04-01T00:00:00-04:00,6605,32,19.5,"{""<5"":3,""5-20"":14,""21-60"":7,""61-240"":5,"">240"":3}",1938.5,41.176156,-73.212136,621210.0,CT,9.0,9001.0,Fairfield County,90010711002.0
231,sg:11e76d70cf7c40468f4d29245286b230,Burlington,CT,2020-03-01T00:00:00-05:00,2020-04-01T00:00:00-04:00,6901,256,42.0,"{""<5"":3,""5-20"":51,""21-60"":110,""61-240"":50,"">240"":42}",22705.0,41.055856,-73.539907,448140.0,CT,9.0,9001.0,Fairfield County,90010201001.0
401,sg:219000cbd8344bc1901dadd90b41ada5,Barbara's Restaurant,CT,2020-03-01T00:00:00-05:00,2020-04-01T00:00:00-04:00,6514,135,10.0,"{""<5"":7,""5-20"":77,""21-60"":39,""61-240"":11,"">240"":1}",4455.0,41.339518,-72.93544,722511.0,CT,9.0,9009.0,New Haven County,90091655002.0
413,sg:22a7e13e2c334d6bae7d6f789549eeff,Sunoco,CT,2020-03-01T00:00:00-05:00,2020-04-01T00:00:00-04:00,6470,60,21.5,"{""<5"":6,""5-20"":23,""21-60"":11,""61-240"":13,"">240"":7}",4384.5,41.396768,-73.29361800000001,447110.0,CT,9.0,9001.0,Fairfield County,90012305022.0
477,sg:2889139e63b84b5881e95cf3f55c2196,First and Last Bakery Cafe,CT,2020-03-01T00:00:00-05:00,2020-04-01T00:00:00-04:00,6114,61,17.0,"{""<5"":2,""5-20"":31,""21-60"":12,""61-240"":8,"">240"":8}",4002.5,41.734021000000006,-72.68679,722511.0,CT,9.0,9003.0,Hartford County,90035023004.0
482,sg:28dce5a883834985a1bef5744110e651,ENT & Allergy Associates,CT,2020-03-01T00:00:00-05:00,2020-04-01T00:00:00-04:00,6611,5,78.0,"{""<5"":0,""5-20"":2,""21-60"":0,""61-240"":1,"">240"":2}",655.5,41.234859,-73.14938000000001,621111.0,CT,9.0,9001.0,Fairfield County,90010905002.0
483,sg:28df1ab1497847388edb220230aa5c88,KFC,CT,2020-03-01T00:00:00-05:00,2020-04-01T00:00:00-04:00,6810,163,13.0,"{""<5"":9,""5-20"":88,""21-60"":38,""61-240"":17,"">240"":11}",7860.0,41.408905,-73.455929,722513.0,CT,9.0,9001.0,Fairfield County,90012102001.0
491,sg:2939b817f79e412ab5e6071fd0fd0354,Pep Boys,CT,2020-03-01T00:00:00-05:00,2020-04-01T00:00:00-04:00,6514,154,60.5,"{""<5"":1,""5-20"":52,""21-60"":24,""61-240"":41,"">240"":36}",16435.0,41.371849,-72.916924,441310.0,CT,9.0,9009.0,New Haven County,90091658012.0
526,sg:2be5bf34d9ef4034b6dbab85eb74da8f,CrossFit,CT,2020-03-01T00:00:00-05:00,2020-04-01T00:00:00-04:00,6320,190,22.0,"{""<5"":3,""5-20"":85,""21-60"":47,""61-240"":42,"">240"":13}",12414.5,41.362639,-72.114876,713940.0,CT,9.0,9011.0,New London County,90116903002.0
549,sg:2e3a7540e9e34d39b5953157079ba2e6,Northford Country Grill,CT,2020-03-01T00:00:00-05:00,2020-04-01T00:00:00-04:00,6472,134,42.0,"{""<5"":1,""5-20"":38,""21-60"":46,""61-240"":30,"">240"":19}",11415.5,41.393683,-72.79019699999999,722511.0,CT,9.0,9009.0,New Haven County,90091862001.0
