,safegraph_place_id,location_name,region,date_range_start,date_range_end,postal_code,raw_visit_counts,median_dwell,bucketed_dwell_times,est_total_dwell,latitude,longitude,naics_code,state,stateFIPS,countyFIPS,countyName,CBGFIPS
69,sg:07608b42c1b540cda475ef0bd9f03034,Ridgefield Home Planning and Education Center,CT,2020-01-01T00:00:00-05:00,2020-02-01T00:00:00-05:00,6877,254,80.0,"{""<5"":5,""5-20"":61,""21-60"":48,""61-240"":78,"">240"":62}",29338.0,41.284279,-73.495873,519120.0,CT,9.0,9001.0,Fairfield County,90012453003.0
247,sg:174b3a8fae2a42b0bda2b40dca98c058,Westbrook Power Sports,CT,2020-01-01T00:00:00-05:00,2020-02-01T00:00:00-05:00,6498,14,11.5,"{""<5"":0,""5-20"":8,""21-60"":2,""61-240"":3,"">240"":1}",872.5,41.277896999999996,-72.46972199999999,441222.0,CT,9.0,9007.0,Middlesex County,90076801003.0
258,sg:180211777dc943a0a823baffd1516451,C Town Supermarkets,CT,2020-01-01T00:00:00-05:00,2020-02-01T00:00:00-05:00,6106,293,11.0,"{""<5"":8,""5-20"":186,""21-60"":40,""61-240"":28,"">240"":31}",15619.0,41.740451,-72.69596800000001,445110.0,CT,9.0,9003.0,Hartford County,90035045002.0
265,sg:189ece9decb545d780d3b73a4155a80d,Southington Education Assoc,CT,2020-01-01T00:00:00-05:00,2020-02-01T00:00:00-05:00,6479,33,344.0,"{""<5"":0,""5-20"":5,""21-60"":3,""61-240"":6,"">240"":19}",5647.0,41.5883,-72.88771700000001,624410.0,CT,9.0,9003.0,Hartford County,90034301002.0
291,sg:1b051290620c44e59000ad3fa9284936,Institute Of Allied Medical Professions Stamford,CT,2020-01-01T00:00:00-05:00,2020-02-01T00:00:00-05:00,6902,1079,84.0,"{""<5"":22,""5-20"":185,""21-60"":236,""61-240"":340,"">240"":296}",134135.5,41.058259,-73.542536,611310.0,CT,9.0,9001.0,Fairfield County,90010201001.0
594,sg:3a5864691b804ee384335b08303f0dc0,Stamford Fire And Rescue Department Station 3,CT,2020-01-01T00:00:00-05:00,2020-02-01T00:00:00-05:00,6902,162,47.5,"{""<5"":9,""5-20"":56,""21-60"":25,""61-240"":37,"">240"":35}",15703.5,41.049336,-73.551106,922160.0,CT,9.0,9001.0,Fairfield County,90010215004.0
712,sg:460c09c4da0e427580b52548c9d907ad,Ermenegildo Zenga,CT,2020-01-01T00:00:00-05:00,2020-02-01T00:00:00-05:00,6880,210,160.5,"{""<5"":6,""5-20"":30,""21-60"":41,""61-240"":67,"">240"":66}",27974.0,41.13769,-73.343398,448110.0,CT,9.0,9001.0,Fairfield County,90010505001.0
745,sg:48fd0a5b103441b280017c7ebd5613a3,Cathy's Beauty Salon Hair Nails & Spa,CT,2020-01-01T00:00:00-05:00,2020-02-01T00:00:00-05:00,6082,48,347.5,"{""<5"":1,""5-20"":7,""21-60"":5,""61-240"":8,"">240"":27}",7976.5,42.012778000000004,-72.59394300000001,812112.0,CT,9.0,9003.0,Hartford County,90034805001.0
825,sg:502d338f213446029c433f7ccf74bddc,Old Greenwich Medical Group,CT,2020-01-01T00:00:00-05:00,2020-02-01T00:00:00-05:00,6870,158,45.5,"{""<5"":3,""5-20"":21,""21-60"":69,""61-240"":39,"">240"":26}",15174.0,41.031222,-73.56886800000001,621111.0,CT,9.0,9001.0,Fairfield County,90010110003.0
886,sg:54c7d727d30d49acb72c7b959f3a2b28,Roberts Center Theatre,CT,2020-01-01T00:00:00-05:00,2020-02-01T00:00:00-05:00,6119,7,507.0,"{""<5"":0,""5-20"":0,""21-60"":0,""61-240"":0,"">240"":7}",1680.0,41.758738,-72.73559399999999,624410.0,CT,9.0,9003.0,Hartford County,90034969007.0
